Generation;Best_Trader_Fitness
1;553088.65
2;553088.65
3;568340.43
4;662059.53
5;662059.53
6;1264608.25
7;1264608.25
8;1264608.25
9;1264608.25
10;1264608.25
11;1264608.25
12;1264608.25
13;1264608.25
14;1264608.25
15;1264608.25
16;1264608.25
17;1264608.25
18;1264608.25
19;1264608.25
20;1264608.25
21;1264608.25
22;1264608.25
23;1264608.25
24;1264608.25
25;1264608.25
26;1264608.25
27;1264608.25
28;1264608.25
29;1264608.25
30;1264608.25
31;1264608.25
32;1264608.25
33;1264608.25
34;1264608.25
35;1264608.25
36;1264608.25
37;1264608.25
38;1264608.25
39;1264608.25
40;1264608.25
41;1264608.25
42;1264608.25
43;1264608.25
44;1264608.25
45;1264608.25
46;1264608.25
47;1264608.25
48;1264608.25
49;1264608.25
50;1264608.25
51;1264608.25
52;1264608.25
53;1264608.25
54;1264608.25
55;1264608.25
56;1264608.25
57;1264608.25
58;1264608.25
59;1264608.25
60;1264608.25
61;1264608.25
62;1264608.25
63;1264608.25
64;1264608.25
65;1264608.25
66;1264608.25
67;1264608.25
68;1264608.25
69;1264608.25
70;1264608.25
71;1264608.25
72;1264608.25
73;1264608.25
74;1264608.25
75;1264608.25
76;1264608.25
77;1264608.25
78;1264608.25
79;1264608.25
80;1264608.25
81;1264608.25
82;1264608.25
83;1264608.25
84;1264608.25
85;1264608.25
86;1264608.25
87;1264608.25
88;1264608.25
89;1264608.25
90;1264608.25
91;1264608.25
92;1264608.25
93;1264608.25
94;1264608.25
95;1264608.25
96;1264608.25
97;1264608.25
98;1264608.25
99;1264608.25
100;1264608.25
101;1264608.25
102;1264608.25
103;1264608.25
104;1264608.25
105;1264608.25
106;1264608.25
107;1264608.25
108;1264608.25
109;1264608.25
110;1264608.25
111;1264608.25
112;1264608.25
113;1264608.25
114;1264608.25
115;1264608.25
116;1264608.25
117;1264608.25
118;1264608.25
119;1264608.25
120;1264608.25
121;1264608.25
122;1264608.25
123;1264608.25
124;1264608.25
125;1264608.25
126;1264608.25
127;1264608.25
128;1264608.25
129;1264608.25
130;1264608.25
131;1264608.25
132;1264608.25
133;1264608.25
134;1264608.25
135;1264608.25
136;1264608.25
137;1264608.25
138;1264608.25
139;1264608.25
140;1264608.25
141;1264608.25
142;1264608.25
143;1264608.25
144;1264608.25
145;1264608.25
146;1264608.25
147;1264608.25
148;1264608.25
149;1264608.25
150;1264608.25
151;1264608.25
152;1264608.25
153;1264608.25
154;1264608.25
155;1264608.25
156;1264608.25
157;1264608.25
158;1264608.25
159;1264608.25
160;1264608.25
161;1264608.25
162;1264608.25
163;1264608.25
164;1264608.25
165;1264608.25
166;1264608.25
167;1264608.25
168;1264608.25
169;1264608.25
170;1264608.25
171;1264608.25
172;1264608.25
173;1264608.25
174;1264608.25
175;1264608.25
176;1264608.25
177;1264608.25
178;1264608.25
179;1264608.25
180;1264608.25
181;1264608.25
182;1264608.25
183;1264608.25
184;1264608.25
185;1264608.25
186;1264608.25
187;1264608.25
188;1264608.25
189;1264608.25
190;1264608.25
191;1264608.25
192;1264608.25
193;1264608.25
194;1264608.25
195;1264608.25
196;1264608.25
197;1264608.25
198;1264608.25
199;1264608.25
200;1264608.25
201;1264608.25
202;1264608.25
203;1264608.25
204;1264608.25
205;1264608.25
206;1264608.25
207;1264608.25
208;1264608.25
209;1264608.25
210;1264608.25
211;1264608.25
212;1264608.25
213;1264608.25
214;1264608.25
215;1279028.88
216;1279028.88
217;1279028.88
218;1279028.88
219;1279028.88
220;1279028.88
221;1279028.88
222;1279028.88
223;1279028.88
224;1279028.88
225;1279028.88
226;1279028.88
227;1279028.88
228;1279028.88
229;1279028.88
230;1279028.88
231;1279028.88
232;1279028.88
233;1279028.88
234;1279028.88
235;1279028.88
236;1279028.88
237;1279028.88
238;1279028.88
239;1279028.88
240;1279028.88
241;1279028.88
242;1279028.88
243;1279028.88
244;1279028.88
245;1279028.88
246;1279028.88
247;1279028.88
248;1279028.88
249;1279028.88
250;1279028.88
251;1279028.88
252;1279028.88
253;1279028.88
254;1279028.88
255;1279028.88
256;1279028.88
257;1279028.88
258;1279028.88
259;1279028.88
260;1279028.88
261;1279028.88
262;1279028.88
263;1279028.88
264;1279028.88
265;1279028.88
266;1279028.88
267;1279028.88
268;1279028.88
269;1279028.88
270;1279028.88
271;1279028.88
272;1279028.88
273;1279028.88
274;1279028.88
275;1279028.88
276;1279028.88
277;1279028.88
278;1279028.88
279;1279028.88
280;1279028.88
281;1279028.88
282;1279028.88
283;1279028.88
284;1279028.88
285;1279028.88
286;1279028.88
287;1279028.88
288;1279028.88
289;1279028.88
290;1279028.88
291;1279028.88
292;1279028.88
293;1279028.88
294;1279028.88
295;1279028.88
