Generation;Best_Trader_Fitness
1;1912054.09
2;1912054.09
3;1912054.09
4;1912054.09
5;1912054.09
6;1912054.09
7;1912054.09
8;1912054.09
9;1912054.09
10;1912054.09
11;1912054.09
12;1912054.09
13;1912054.09
14;1912054.09
15;1912054.09
16;1912054.09
17;1912054.09
18;1912054.09
19;1912054.09
20;1912054.09
21;1912054.09
22;1912054.09
23;1912054.09
24;1912054.09
25;1912054.09
26;1912054.09
27;1912054.09
28;1912054.09
29;1912054.09
30;1912054.09
31;1912054.09
32;1912054.09
33;1912054.09
34;1912054.09
35;1912054.09
36;1912054.09
37;1912054.09
38;1912054.09
39;1912054.09
40;1912054.09
41;1912054.09
42;1912054.09
43;1912054.09
44;1912054.09
45;1912054.09
46;1912054.09
47;1912054.09
48;1912054.09
49;1912054.09
50;1912054.09
51;1912054.09
52;1912054.09
53;1912054.09
54;1912054.09
55;1912054.09
56;1912054.09
57;1912054.09
58;1912054.09
59;1912054.09
60;1912054.09
61;1912054.09
62;1912054.09
63;1912054.09
64;1912054.09
65;1912054.09
66;1912054.09
67;1912054.09
68;1912054.09
69;1912054.09
70;1912054.09
71;1912054.09
72;1912054.09
73;1912054.09
74;1912054.09
75;1912054.09
76;1912054.09
77;1912054.09
78;1912054.09
79;1912054.09
80;1912054.09
81;1912054.09
82;1912054.09
83;1912054.09
84;1912054.09
85;1912054.09
86;1912054.09
87;1912054.09
88;1912054.09
89;1912054.09
90;1912054.09
91;1912054.09
92;1912054.09
93;1912054.09
94;1912054.09
95;1912054.09
96;1912054.09
97;1912054.09
98;1912054.09
99;1912054.09
100;1912054.09
101;1912054.09
102;1912054.09
103;1912054.09
104;1912054.09
105;1912054.09
106;1912054.09
107;1912054.09
108;1912054.09
109;1912054.09
110;1912054.09
111;1912054.09
112;1912054.09
113;1912054.09
114;1912054.09
115;1912054.09
116;1912054.09
117;1912054.09
118;1912054.09
119;1912054.09
120;1912054.09
121;1912054.09
122;1912054.09
123;1912054.09
124;1912054.09
125;1912054.09
126;1912054.09
127;1912054.09
128;1912054.09
129;1912054.09
130;1912054.09
131;1912054.09
132;1912054.09
133;1912054.09
134;1912054.09
135;1912054.09
136;1912054.09
137;1912054.09
138;1912054.09
139;1912054.09
140;1912054.09
141;1912054.09
142;1912054.09
143;1912054.09
144;1912054.09
145;1912054.09
146;1912054.09
147;1912054.09
148;1912054.09
149;1912054.09
150;1912054.09
151;1912054.09
152;1912054.09
153;1912054.09
154;1912054.09
155;1912054.09
156;1912054.09
157;1912054.09
158;1912054.09
159;1912054.09
160;1912054.09
161;1912054.09
162;1912054.09
163;1912054.09
164;1912054.09
165;1912054.09
166;1912054.09
167;1912054.09
168;1912054.09
169;1912054.09
170;1912054.09
171;1912054.09
172;1912054.09
173;1912054.09
174;1912054.09
175;1912054.09
176;1912054.09
177;1912054.09
178;1912054.09
179;1912054.09
180;1912054.09
181;1912054.09
182;1912054.09
183;1912054.09
184;1912054.09
185;1912054.09
186;1912054.09
187;1912054.09
188;1912054.09
189;1912054.09
190;1912054.09
191;1912054.09
192;1912054.09
193;1912054.09
194;1912054.09
195;1912054.09
196;1912054.09
197;1912054.09
198;1912054.09
199;1912054.09
200;1912054.09
201;1912054.09
202;1912054.09
203;1912054.09
204;1912054.09
205;1912054.09
206;1912054.09
207;1912054.09
208;1912054.09
209;1912054.09
210;1912054.09
211;1912054.09
212;1912054.09
213;1912054.09
214;1912054.09
215;1912054.09
216;1912054.09
217;1912054.09
218;1912054.09
219;1912054.09
220;1912054.09
221;1912054.09
222;1912054.09
223;1912054.09
224;1912054.09
225;1912054.09
226;1912054.09
227;1912054.09
228;1912054.09
229;1912054.09
230;1912054.09
231;1912054.09
232;1912054.09
233;1912054.09
234;1912054.09
235;1912054.09
236;1912054.09
237;1912054.09
238;1912054.09
239;1912054.09
240;1912054.09
241;1912054.09
242;1912054.09
243;1912054.09
244;1912054.09
245;1912054.09
246;1912054.09
247;1912054.09
248;1912054.09
249;1912054.09
250;1912054.09
251;1912054.09
252;1912054.09
253;1912054.09
254;1912054.09
255;1912054.09
256;1912054.09
257;1912054.09
258;1912054.09
259;1912054.09
260;1912054.09
261;1912054.09
262;1912054.09
263;1912054.09
264;1912054.09
265;1912054.09
266;1912054.09
267;1912054.09
268;1912054.09
269;1912054.09
270;1912054.09
271;1912054.09
272;1912054.09
273;1912054.09
274;1912054.09
275;1912054.09
276;1912054.09
277;1912054.09
278;1912054.09
279;1912054.09
280;1912054.09
281;1912054.09
282;1912054.09
283;1912054.09
284;1912054.09
285;1912054.09
286;1912054.09
287;1912054.09
288;1912054.09
289;1912054.09
290;1912054.09
291;1912054.09
292;1912054.09
293;1912054.09
294;1912054.09
295;1912054.09
296;1912054.09
297;1912054.09
