Generation;Best_Trader_Fitness
1;476494.87
2;685283.41
3;685283.41
4;685283.41
5;687671.49
6;986643.25
7;1479219.78
8;1479219.78
9;1479219.78
10;1479219.78
11;1659742.73
12;1659742.73
13;1777437.55
14;1777437.55
15;2027886.34
16;2027886.34
17;2027886.34
18;2027886.34
19;2027886.34
20;2027886.34
21;2027886.34
22;2027886.34
23;2027886.34
24;2027886.34
25;2027886.34
26;2027886.34
27;2027886.34
28;2027886.34
29;2027886.34
30;2027886.34
31;2027886.34
32;2027886.34
33;2027886.34
34;2027886.34
35;2027886.34
36;2027886.34
37;2027886.34
38;2027886.34
39;2027886.34
40;2027886.34
41;2027886.34
42;2027886.34
43;2027886.34
44;2027886.34
45;2027886.34
46;2027886.34
47;2027886.34
48;2027886.34
49;2027886.34
50;2027886.34
51;2027886.34
52;2027886.34
53;2027886.34
54;2027886.34
55;2027886.34
56;2027886.34
57;2027886.34
58;2027886.34
59;2027886.34
60;2027886.34
61;2027886.34
62;2027886.34
63;2027886.34
64;2027886.34
65;2027886.34
66;2027886.34
67;2027886.34
68;2027886.34
69;2027886.34
70;2027886.34
71;2027886.34
72;2027886.34
73;2027886.34
74;2027886.34
75;2027886.34
76;2027886.34
77;2027886.34
78;2027886.34
79;2027886.34
80;2027886.34
81;2027886.34
82;2027886.34
83;2027886.34
84;2027886.34
85;2027886.34
86;2027886.34
87;2027886.34
88;2027886.34
89;2027886.34
90;2027886.34
91;2027886.34
92;2027886.34
93;2027886.34
94;2027886.34
95;2027886.34
96;2027886.34
97;2027886.34
98;2027886.34
99;2027886.34
100;2027886.34
101;2027886.34
102;2027886.34
103;2027886.34
104;2027886.34
105;2027886.34
106;2027886.34
107;2027886.34
108;2027886.34
109;2027886.34
110;2027886.34
111;2027886.34
112;2027886.34
113;2027886.34
114;2027886.34
115;2027886.34
116;2027886.34
117;2027886.34
118;2027886.34
119;2027886.34
120;2027886.34
121;2027886.34
122;2027886.34
123;2027886.34
124;2027886.34
125;2027886.34
126;2027886.34
127;2027886.34
128;2027886.34
129;2027886.34
130;2027886.34
131;2027886.34
132;2027886.34
133;2027886.34
134;2027886.34
135;2027886.34
136;2027886.34
137;2027886.34
138;2027886.34
139;2027886.34
140;2027886.34
141;2027886.34
142;2027886.34
143;2027886.34
144;2027886.34
145;2027886.34
146;2027886.34
147;2027886.34
148;2027886.34
149;2027886.34
150;2027886.34
151;2027886.34
152;2027886.34
153;2027886.34
154;2027886.34
155;2027886.34
156;2027886.34
157;2027886.34
158;2027886.34
159;2027886.34
160;2027886.34
161;2027886.34
162;2027886.34
163;2027886.34
164;2027886.34
165;2027886.34
166;2027886.34
167;2027886.34
168;2027886.34
169;2027886.34
170;2027886.34
171;2027886.34
172;2027886.34
173;2027886.34
174;2027886.34
175;2027886.34
176;2027886.34
177;2027886.34
178;2027886.34
179;2027886.34
180;2027886.34
181;2027886.34
182;2027886.34
183;2027886.34
184;2027886.34
185;2027886.34
186;2027886.34
187;2027886.34
188;2027886.34
189;2027886.34
190;2027886.34
191;2027886.34
192;2027886.34
193;2027886.34
194;2027886.34
195;2027886.34
196;2027886.34
197;2027886.34
198;2027886.34
199;2027886.34
200;2027886.34
201;2027886.34
202;2027886.34
203;2027886.34
204;2027886.34
205;2027886.34
206;2027886.34
207;2027886.34
208;2027886.34
209;2027886.34
210;2027886.34
211;2027886.34
212;2027886.34
213;2027886.34
214;2027886.34
215;2027886.34
216;2027886.34
217;2027886.34
218;2027886.34
219;2027886.34
220;2027886.34
221;2027886.34
222;2027886.34
223;2027886.34
224;2027886.34
225;2027886.34
226;2027886.34
227;2027886.34
228;2027886.34
229;2027886.34
230;2027886.34
231;2027886.34
232;2027886.34
233;2027886.34
234;2027886.34
235;2027886.34
236;2027886.34
237;2027886.34
238;2027886.34
239;2027886.34
240;2027886.34
241;2027886.34
242;2027886.34
243;2027886.34
244;2027886.34
245;2027886.34
246;2027886.34
247;2027886.34
248;2027886.34
249;2027886.34
250;2027886.34
251;2027886.34
252;2027886.34
253;2027886.34
254;2027886.34
255;2027886.34
256;2027886.34
257;2027886.34
258;2027886.34
259;2027886.34
260;2027886.34
261;2027886.34
262;2027886.34
263;2027886.34
264;2027886.34
265;2027886.34
266;2027886.34
267;2027886.34
268;2027886.34
269;2027886.34
270;2027886.34
271;2027886.34
272;2027886.34
273;2027886.34
274;2027886.34
275;2027886.34
276;2027886.34
277;2027886.34
278;2027886.34
279;2027886.34
280;2027886.34
281;2027886.34
282;2027886.34
283;2027886.34
284;2027886.34
285;2027886.34
286;2027886.34
287;2027886.34
288;2027886.34
289;2027886.34
290;2027886.34
291;2027886.34
292;2027886.34
293;2027886.34
294;2027886.34
295;2027886.34
296;2027886.34
297;2027886.34
298;2027886.34
299;2027886.34
300;2027886.34
301;2027886.34
302;2027886.34
303;2027886.34
304;2027886.34
305;2027886.34
306;2027886.34
307;2027886.34
