Generation;Best_Trader_Fitness
1;706576.89
2;706576.89
3;706576.89
4;706576.89
5;706576.89
6;706576.89
7;706576.89
8;706576.89
9;706576.89
10;706576.89
11;706576.89
12;706576.89
13;706576.89
14;706576.89
15;706576.89
16;706576.89
17;706576.89
18;706576.89
19;706576.89
20;706576.89
21;706576.89
22;706576.89
23;706576.89
24;706576.89
25;706576.89
26;706576.89
27;706576.89
28;706576.89
29;706576.89
30;706576.89
31;706576.89
32;706576.89
33;706576.89
34;706576.89
35;706576.89
36;706576.89
37;706576.89
38;706576.89
39;706576.89
40;706576.89
41;706576.89
42;706576.89
43;706576.89
44;706576.89
45;706576.89
46;706576.89
47;706576.89
48;706576.89
49;706576.89
50;706576.89
51;706576.89
52;706576.89
53;706576.89
54;706576.89
55;706576.89
56;706576.89
57;706576.89
58;706576.89
59;706576.89
60;706576.89
61;706576.89
62;706576.89
63;706576.89
64;706576.89
65;706576.89
66;706576.89
67;706576.89
68;706576.89
69;706576.89
70;706576.89
71;706576.89
72;1230215.62
73;1230215.62
74;1230215.62
75;1230215.62
76;1230215.62
77;1230215.62
78;1230215.62
79;1230215.62
80;1230215.62
81;1230215.62
82;1230215.62
83;1230215.62
84;1230215.62
85;1230215.62
86;1230215.62
87;1230215.62
88;1230215.62
89;1230215.62
90;1230215.62
91;1230215.62
92;1230215.62
93;1230215.62
94;1230215.62
95;1230215.62
96;1230215.62
97;1230215.62
98;1230215.62
99;1230215.62
100;1230215.62
101;1230215.62
102;1230215.62
103;1230215.62
104;1230215.62
105;1230215.62
106;1230215.62
107;1230215.62
108;1230215.62
109;1230215.62
110;1230215.62
111;1230215.62
112;1230215.62
113;1230215.62
114;1230215.62
115;1230215.62
116;1230215.62
117;1230215.62
118;1230215.62
119;1230215.62
120;1230215.62
121;1230215.62
122;1230215.62
123;1230215.62
124;1230215.62
125;1230215.62
126;1230215.62
127;1230215.62
128;1230215.62
129;1230215.62
130;1230215.62
131;1230215.62
132;1230215.62
133;1230215.62
134;1230215.62
135;1230215.62
136;1230215.62
137;1230215.62
138;1230215.62
139;1230215.62
140;1230215.62
141;1230215.62
142;1230215.62
143;1230215.62
144;1230215.62
145;1230215.62
146;1230215.62
147;1230215.62
148;1230215.62
149;1230215.62
150;1230215.62
151;1230215.62
152;1230215.62
153;1230215.62
154;1230215.62
155;1230215.62
156;1230215.62
157;1230215.62
158;1230215.62
159;1230215.62
160;1230215.62
161;1230215.62
162;1230215.62
163;1230215.62
164;1230215.62
165;1230215.62
166;1230215.62
167;1230215.62
168;1230215.62
169;1230215.62
170;1230215.62
171;1230215.62
172;1230215.62
173;1230215.62
174;1230215.62
