Generation;Best_Trader_Fitness
1;670129.94
2;849874.82
3;849874.82
4;849874.82
5;849874.82
6;849874.82
7;849874.82
8;849874.82
9;849874.82
10;849874.82
11;956697.59
12;956697.59
13;956697.59
14;956697.59
15;956697.59
16;956697.59
17;956697.59
18;956697.59
19;956697.59
20;956697.59
21;956697.59
22;956697.59
23;956697.59
24;956697.59
25;956697.59
26;956697.59
27;956697.59
28;956697.59
29;956697.59
30;956697.59
31;956697.59
32;956697.59
33;956697.59
34;956697.59
35;956697.59
36;956697.59
37;956697.59
38;956697.59
39;956697.59
40;956697.59
41;956697.59
42;956697.59
43;956697.59
44;956697.59
45;956697.59
46;1301744.75
47;1301744.75
48;1301744.75
49;1301744.75
50;1301744.75
51;1301744.75
52;1301744.75
53;1301744.75
54;1301744.75
55;1301744.75
56;1301744.75
57;1301744.75
58;1301744.75
59;1301744.75
60;1301744.75
61;1301744.75
62;1301744.75
63;1301744.75
64;1301744.75
65;1301744.75
66;1301744.75
67;1301744.75
68;1301744.75
69;1301744.75
70;1301744.75
71;1301744.75
72;1301744.75
73;1301744.75
74;1301744.75
75;1301744.75
76;1301744.75
77;1301744.75
78;1301744.75
79;1301744.75
80;1301744.75
81;1301744.75
82;1301744.75
83;1301744.75
84;1301744.75
85;1301744.75
86;1301744.75
87;1301744.75
88;1301744.75
89;1301744.75
90;1301744.75
91;1301744.75
92;1301744.75
93;1301744.75
94;1301744.75
95;1301744.75
96;1301744.75
97;1301744.75
98;1301744.75
99;1301744.75
100;1301744.75
101;1301744.75
102;1301744.75
103;1301744.75
104;1301744.75
105;1301744.75
106;1301744.75
107;1301744.75
108;1301744.75
109;1301744.75
110;1301744.75
111;1301744.75
112;1301744.75
113;1301744.75
114;1301744.75
115;1301744.75
116;1301744.75
117;1301744.75
118;1301744.75
119;1301744.75
120;1301744.75
121;1301744.75
122;1301744.75
123;1301744.75
124;1301744.75
125;1301744.75
126;1301744.75
127;1301744.75
128;1301744.75
129;1301744.75
130;1301744.75
131;1301744.75
132;1301744.75
133;1301744.75
134;1301744.75
135;1301744.75
136;1301744.75
137;1301744.75
138;1301744.75
139;1301744.75
140;1301744.75
141;1301744.75
142;1301744.75
143;1301744.75
144;1301744.75
145;1301744.75
146;1301744.75
147;1301744.75
148;1301744.75
149;1301744.75
150;1301744.75
151;1301744.75
152;1301744.75
153;1301744.75
154;1301744.75
155;1301744.75
156;1301744.75
157;1301744.75
158;1301744.75
159;1301744.75
160;1301744.75
161;1301744.75
162;1301744.75
163;1301744.75
164;1301744.75
165;1301744.75
166;1301744.75
167;1301744.75
168;1301744.75
169;1301744.75
170;1301744.75
171;1301744.75
172;1301744.75
173;1301744.75
174;1301744.75
175;1301744.75
176;1301744.75
177;1301744.75
178;1301744.75
179;1301744.75
180;1301744.75
181;1301744.75
182;1301744.75
183;1301744.75
184;1301744.75
185;1301744.75
186;1301744.75
187;1301744.75
188;1301744.75
189;1301744.75
190;1301744.75
191;1301744.75
192;1301744.75
193;1301744.75
194;1301744.75
195;1301744.75
196;1301744.75
197;1301744.75
198;1301744.75
199;1301744.75
200;1301744.75
201;1301744.75
202;1301744.75
203;1301744.75
204;1301744.75
205;1301744.75
206;1301744.75
207;1301744.75
208;1301744.75
209;1301744.75
210;1301744.75
211;1301744.75
212;1301744.75
213;1301744.75
214;1301744.75
215;1301744.75
216;1301744.75
217;1301744.75
218;1301744.75
219;1301744.75
220;1301744.75
221;1301744.75
222;1301744.75
223;1301744.75
224;1301744.75
225;1301744.75
226;1301744.75
227;1301744.75
228;1301744.75
229;1301744.75
230;1301744.75
231;1301744.75
232;1301744.75
233;1301744.75
234;1301744.75
235;1301744.75
236;1301744.75
237;1301744.75
238;1301744.75
239;1301744.75
240;1301744.75
241;1301744.75
242;1301744.75
243;1301744.75
244;1301744.75
245;1301744.75
246;1301744.75
247;1301744.75
248;1301744.75
249;1301744.75
250;1301744.75
251;1301744.75
252;1301744.75
253;1301744.75
254;1301744.75
255;1301744.75
256;1301744.75
257;1301744.75
258;1301744.75
259;1301744.75
