Generation;Best_Trader_Fitness
1;222948.78
2;222948.78
3;222948.78
4;232981.65
5;336368.69
6;336368.69
7;362274.13
8;362274.13
9;438959.61
10;445659.92
11;445659.92
12;600407.59
13;728076.08
14;728076.08
15;728076.08
16;728076.08
17;728076.08
18;728076.08
19;728076.08
20;728076.08
21;728076.08
22;728076.08
23;728076.08
24;728076.08
25;728076.08
26;728076.08
27;728076.08
28;728076.08
29;728076.08
30;728076.08
31;728076.08
32;728076.08
33;728076.08
34;728076.08
35;728076.08
36;728076.08
37;728076.08
38;728076.08
39;728076.08
40;728076.08
41;728076.08
42;728076.08
43;728076.08
44;728076.08
45;728076.08
46;728076.08
47;728076.08
48;728076.08
49;728076.08
50;728076.08
51;728076.08
52;728076.08
53;728076.08
54;728076.08
55;728076.08
56;728076.08
57;728076.08
58;728076.08
59;728076.08
60;728076.08
61;728076.08
62;728076.08
63;728076.08
64;728076.08
65;728076.08
66;728076.08
67;728076.08
68;728076.08
69;728076.08
70;728076.08
71;728076.08
72;728076.08
73;728076.08
74;728076.08
75;728076.08
76;728076.08
77;728076.08
78;728076.08
79;728076.08
80;728076.08
81;728076.08
82;728076.08
83;728076.08
84;728076.08
85;728076.08
86;728076.08
87;728076.08
88;728076.08
89;728076.08
90;728076.08
91;728076.08
92;728076.08
93;728076.08
94;728076.08
95;728076.08
96;728076.08
97;728076.08
98;728076.08
99;728076.08
100;728076.08
101;728076.08
102;728076.08
103;728076.08
104;728076.08
105;728076.08
106;728076.08
107;728076.08
108;728076.08
109;728076.08
110;728076.08
111;728076.08
112;728076.08
113;728076.08
114;728076.08
115;728076.08
116;728076.08
117;728076.08
118;728076.08
119;728076.08
120;745463.05
121;745463.05
122;745463.05
123;745463.05
124;745463.05
125;745463.05
126;745463.05
127;745463.05
128;745463.05
129;745463.05
130;745463.05
131;745463.05
132;745463.05
133;745463.05
134;745463.05
135;745463.05
136;745463.05
137;745463.05
138;745463.05
139;745463.05
140;745463.05
141;745463.05
142;745463.05
143;745463.05
144;745463.05
145;745463.05
146;745463.05
147;745463.05
148;745463.05
149;745463.05
150;745463.05
151;745463.05
152;745463.05
153;745463.05
154;745463.05
155;745463.05
156;745463.05
157;745463.05
158;745463.05
159;745463.05
160;745463.05
161;745463.05
162;745463.05
163;745463.05
164;745463.05
165;745463.05
166;745463.05
167;745463.05
168;745463.05
169;745463.05
170;745463.05
171;745463.05
172;745463.05
173;745463.05
174;745463.05
175;745463.05
176;745463.05
177;745463.05
178;745463.05
179;745463.05
180;745463.05
181;745463.05
182;745463.05
183;745463.05
184;745463.05
185;745463.05
186;745463.05
187;745463.05
188;745463.05
189;745463.05
190;745463.05
191;745463.05
192;745463.05
193;745463.05
194;745463.05
195;745463.05
196;745463.05
197;745463.05
198;745463.05
199;745463.05
200;745463.05
201;745463.05
202;745463.05
203;745463.05
204;745463.05
205;745463.05
206;745463.05
207;745463.05
208;745463.05
209;745463.05
210;745463.05
211;745463.05
212;745463.05
213;745463.05
214;745463.05
215;745463.05
216;745463.05
217;745463.05
218;745463.05
219;745463.05
220;745463.05
221;745463.05
222;745463.05
223;745463.05
224;745463.05
225;745463.05
226;745463.05
227;745463.05
228;745463.05
229;745463.05
230;745463.05
231;745463.05
232;745463.05
233;745463.05
234;745463.05
235;745463.05
236;745463.05
237;745463.05
238;745463.05
239;745463.05
240;745463.05
241;745463.05
242;745463.05
243;745463.05
244;745463.05
245;745463.05
246;745463.05
247;745463.05
248;745463.05
249;745463.05
250;745463.05
251;745463.05
252;745463.05
253;745463.05
254;745463.05
255;745463.05
256;745463.05
257;745463.05
258;745463.05
