Generation;Best_Trader_Fitness
1;746981.42
2;776485.57
3;776485.57
4;776485.57
5;860160.26
6;881044.21
7;1037087.21
8;1045595.56
9;1045595.56
10;1081236.65
11;1081236.65
12;1081236.65
13;1081236.65
14;1081236.65
15;1081236.65
16;1081236.65
17;1081236.65
18;1081236.65
19;1081236.65
20;1081236.65
21;1081236.65
22;1081236.65
23;1081236.65
24;1081236.65
25;1081236.65
26;1081236.65
27;1081236.65
28;1081236.65
29;1081236.65
30;1081236.65
31;1081236.65
32;1081236.65
33;1081236.65
34;1081236.65
35;1081236.65
36;1081236.65
37;1081236.65
38;1081236.65
39;1081236.65
40;1081236.65
41;1081236.65
42;1081236.65
43;1081236.65
44;1081236.65
45;1081236.65
46;1081236.65
47;1081236.65
48;1081236.65
49;1081236.65
50;1081236.65
51;1081236.65
52;1081236.65
53;1081236.65
54;1081236.65
55;1081236.65
56;1081236.65
57;1081236.65
58;1081236.65
59;1081236.65
60;1081236.65
61;1081236.65
62;1081236.65
63;1081236.65
64;1081236.65
65;1081236.65
66;1081236.65
67;1081236.65
68;1081236.65
69;1081236.65
70;1081236.65
71;1081236.65
72;1081236.65
73;1081236.65
74;1081236.65
75;1081236.65
76;1081236.65
77;1081236.65
78;1081236.65
79;1081236.65
80;1081236.65
81;1081236.65
82;1081236.65
83;1081236.65
84;1081236.65
85;1081236.65
86;1081236.65
87;1081236.65
88;1081236.65
89;1081236.65
90;1081236.65
91;1081236.65
92;1081236.65
93;1081236.65
94;1081236.65
95;1081236.65
96;1081236.65
97;1081236.65
98;1081236.65
99;1081236.65
100;1081236.65
101;1081236.65
102;1081236.65
103;1081236.65
104;1081236.65
105;1081236.65
106;1081236.65
107;1081236.65
108;1081236.65
109;1081236.65
110;1081236.65
111;1081236.65
112;1081236.65
113;1081236.65
114;1081236.65
115;1081236.65
116;1081236.65
117;1081236.65
118;1081236.65
119;1081236.65
120;1081236.65
121;1081236.65
122;1081236.65
123;1081236.65
124;1081236.65
125;1081236.65
126;1081236.65
127;1081236.65
128;1081236.65
129;1081236.65
130;1081236.65
131;1081236.65
132;1081236.65
133;1081236.65
134;1081236.65
135;1081236.65
136;1081236.65
137;1081236.65
138;1081236.65
139;1081236.65
140;1081236.65
141;1081236.65
142;1081236.65
143;1081236.65
144;1081236.65
145;1081236.65
146;1081236.65
147;1081236.65
148;1081236.65
149;1081236.65
150;1081236.65
151;1081236.65
152;1081236.65
153;1081236.65
154;1081236.65
155;1081236.65
156;1081236.65
157;1081236.65
158;1081236.65
159;1081236.65
160;1081236.65
161;1081236.65
162;1081236.65
163;1081236.65
164;1081236.65
165;1081236.65
166;1081236.65
167;1081236.65
168;1081236.65
169;1081236.65
170;1081236.65
171;1081236.65
172;1081236.65
173;1081236.65
174;1081236.65
175;1081236.65
176;1081236.65
177;1081236.65
178;1081236.65
179;1081236.65
180;1081236.65
181;1081236.65
182;1081236.65
183;1081236.65
184;1081236.65
185;1081236.65
186;1081236.65
187;1081236.65
188;1081236.65
189;1081236.65
190;1081236.65
191;1081236.65
192;1081236.65
193;1081236.65
194;1081236.65
195;1081236.65
196;1081236.65
197;1081236.65
198;1081236.65
199;1081236.65
200;1081236.65
201;1081236.65
202;1081236.65
203;1081236.65
204;1081236.65
205;1081236.65
206;1081236.65
207;1081236.65
208;1081236.65
209;1081236.65
210;1081236.65
211;1081236.65
212;1081236.65
213;1081236.65
214;1081236.65
215;1081236.65
216;1081236.65
217;1081236.65
218;1081236.65
219;1081236.65
220;1081236.65
221;1081236.65
222;1081236.65
223;1081236.65
224;1081236.65
225;1081236.65
226;1081236.65
227;1081236.65
228;1081236.65
229;1081236.65
230;1081236.65
231;1081236.65
232;1081236.65
233;1081236.65
234;1081236.65
235;1081236.65
236;1081236.65
237;1081236.65
238;1081236.65
239;1081236.65
240;1081236.65
241;1081236.65
242;1081236.65
243;1081236.65
244;1081236.65
245;1081236.65
246;1081236.65
247;1081236.65
248;1081236.65
249;1081236.65
250;1081236.65
251;1081236.65
252;1081236.65
253;1081236.65
254;1081236.65
255;1081236.65
256;1081236.65
257;1081236.65
258;1081236.65
259;1081236.65
260;1081236.65
261;1081236.65
262;1081236.65
263;1081236.65
264;1081236.65
265;1081236.65
266;1081236.65
267;1081236.65
268;1081236.65
269;1081236.65
270;1081236.65
271;1081236.65
272;1081236.65
273;1081236.65
274;1081236.65
275;1081236.65
276;1081236.65
277;1081236.65
278;1081236.65
279;1081236.65
280;1081236.65
281;1081236.65
282;1081236.65
283;1081236.65
284;1081236.65
285;1081236.65
286;1081236.65
287;1081236.65
288;1081236.65
289;1081236.65
290;1081236.65
291;1081236.65
292;1081236.65
293;1081236.65
294;1081236.65
295;1081236.65
296;1081236.65
297;1081236.65
298;1081236.65
299;1081236.65
300;1081236.65
301;1081236.65
302;1081236.65
303;1081236.65
304;1081236.65
305;1081236.65
306;1081236.65
307;1081236.65
308;1081236.65
309;1081236.65
310;1081236.65
311;1081236.65
312;1081236.65
313;1081236.65
314;1081236.65
315;1081236.65
316;1081236.65
317;1081236.65
318;1081236.65
319;1081236.65
320;1081236.65
321;1081236.65
322;1081236.65
323;1081236.65
324;1081236.65
325;1081236.65
326;1081236.65
327;1081236.65
328;1081236.65
329;1081236.65
330;1081236.65
331;1081236.65
332;1081236.65
333;1081236.65
334;1081236.65
335;1081236.65
336;1081236.65
337;1081236.65
338;1081236.65
339;1081236.65
340;1081236.65
341;1081236.65
342;1081236.65
343;1081236.65
344;1081236.65
345;1081236.65
346;1081236.65
347;1081236.65
348;1081236.65
349;1081236.65
350;1081236.65
351;1081236.65
352;1081236.65
353;1081236.65
354;1081236.65
355;1081236.65
356;1081236.65
357;1081236.65
358;1081236.65
