Generation;Best_Trader_Fitness
1;515698.26
2;515698.26
3;1279068.08
4;1645596.68
5;1645596.68
6;1645596.68
7;1645596.68
8;1645596.68
9;1645596.68
10;1645596.68
11;1645596.68
12;1645596.68
13;1645596.68
14;1645596.68
15;1645596.68
16;1645596.68
17;1645596.68
18;1645596.68
19;1645596.68
20;1645596.68
21;1645596.68
22;1645596.68
23;1645596.68
24;1645596.68
25;1645596.68
26;1645596.68
27;1645596.68
28;1645596.68
29;1645596.68
30;1645596.68
31;1645596.68
32;1645596.68
33;1645596.68
34;1645596.68
35;1645596.68
36;1645596.68
37;1645596.68
38;1645596.68
39;1645596.68
40;1645596.68
41;1645596.68
42;1645596.68
43;1645596.68
44;1645596.68
45;1645596.68
46;1645596.68
47;1645596.68
48;1645596.68
49;1645596.68
50;1645596.68
51;1645596.68
52;1645596.68
53;1645596.68
54;1645596.68
55;1645596.68
56;1645596.68
57;1645596.68
58;1645596.68
59;1645596.68
60;1645596.68
61;1645596.68
62;1645596.68
63;1645596.68
64;1645596.68
65;1645596.68
66;1645596.68
67;1645596.68
68;1645596.68
69;1645596.68
70;1645596.68
71;1645596.68
72;1645596.68
73;1645596.68
74;1645596.68
75;1645596.68
76;1645596.68
77;1645596.68
78;1645596.68
79;1645596.68
80;1645596.68
81;1645596.68
82;1645596.68
83;1645596.68
84;1645596.68
85;1645596.68
86;1645596.68
87;1645596.68
88;1645596.68
89;1645596.68
90;1645596.68
91;1645596.68
92;1645596.68
93;1645596.68
94;1645596.68
95;1645596.68
96;1645596.68
97;1645596.68
98;1645596.68
99;1645596.68
100;1645596.68
101;1645596.68
102;1645596.68
103;1645596.68
104;1645596.68
105;1645596.68
106;1645596.68
107;1645596.68
108;1645596.68
109;1645596.68
110;1645596.68
111;1645596.68
112;1645596.68
113;1645596.68
114;1645596.68
115;1645596.68
116;1645596.68
117;1645596.68
118;1645596.68
119;1645596.68
120;1645596.68
121;1645596.68
122;1645596.68
123;1645596.68
124;1645596.68
125;1645596.68
126;1645596.68
127;1645596.68
128;1645596.68
129;1645596.68
130;1645596.68
131;1645596.68
132;1645596.68
133;1645596.68
134;1645596.68
135;1645596.68
136;1645596.68
137;1645596.68
138;1645596.68
139;1645596.68
140;1645596.68
141;1645596.68
142;1645596.68
143;1645596.68
144;1645596.68
145;1645596.68
146;1645596.68
147;1645596.68
148;1645596.68
149;1645596.68
150;1645596.68
151;1645596.68
152;1645596.68
153;1645596.68
154;1645596.68
155;1645596.68
156;1645596.68
157;1645596.68
158;1645596.68
159;1645596.68
160;1645596.68
161;1645596.68
162;1645596.68
163;1645596.68
164;1645596.68
165;1645596.68
166;1645596.68
167;1645596.68
168;1645596.68
169;1645596.68
170;1645596.68
171;1645596.68
172;1645596.68
173;1645596.68
174;1645596.68
175;1645596.68
176;1645596.68
177;1645596.68
178;1645596.68
179;1645596.68
180;1645596.68
181;1645596.68
182;1645596.68
183;1645596.68
184;1645596.68
185;1645596.68
186;1645596.68
187;1645596.68
188;1645596.68
189;1645596.68
190;1645596.68
191;1645596.68
192;1645596.68
193;1645596.68
194;1645596.68
195;1645596.68
196;1645596.68
197;1645596.68
198;1645596.68
199;1645596.68
200;1645596.68
201;1645596.68
202;1645596.68
203;1645596.68
204;1645596.68
205;1645596.68
206;1645596.68
207;1645596.68
208;1645596.68
209;1645596.68
210;1645596.68
211;1645596.68
212;1645596.68
213;1645596.68
214;1645596.68
215;1645596.68
216;1645596.68
217;1645596.68
218;1645596.68
219;1645596.68
220;1645596.68
221;1645596.68
222;1645596.68
223;1645596.68
224;1645596.68
225;1645596.68
226;1645596.68
227;1645596.68
228;1645596.68
229;1645596.68
230;1645596.68
231;1645596.68
232;1645596.68
233;1645596.68
234;1645596.68
235;1645596.68
236;1645596.68
237;1645596.68
238;1645596.68
239;1645596.68
240;1645596.68
241;1645596.68
242;1645596.68
243;1645596.68
244;1645596.68
245;1645596.68
246;1645596.68
247;1645596.68
248;1645596.68
249;1645596.68
250;1645596.68
251;1645596.68
252;1645596.68
253;1645596.68
254;1645596.68
255;1645596.68
256;1645596.68
257;1645596.68
258;1645596.68
259;1645596.68
260;1645596.68
261;1645596.68
262;1645596.68
263;1645596.68
264;1645596.68
265;1645596.68
266;1645596.68
267;1645596.68
268;1645596.68
269;1645596.68
270;1645596.68
271;1645596.68
272;1645596.68
273;1645596.68
274;1645596.68
275;1645596.68
276;1645596.68
277;1645596.68
278;1645596.68
279;1645596.68
280;1645596.68
281;1645596.68
282;1645596.68
283;1645596.68
284;1645596.68
285;1645596.68
286;1645596.68
287;1645596.68
288;1645596.68
289;1645596.68
290;1645596.68
291;1645596.68
292;1645596.68
293;1645596.68
294;1645596.68
295;1645596.68
296;1645596.68
297;1645596.68
298;1645596.68
299;1645596.68
300;1645596.68
301;1645596.68
302;1645596.68
303;1645596.68
304;1645596.68
305;1645596.68
306;1645596.68
307;1645596.68
308;1645596.68
309;1645596.68
310;1645596.68
311;1645596.68
312;1645596.68
313;1645596.68
314;1645596.68
315;1645596.68
316;1645596.68
317;1645596.68
318;1645596.68
319;1645596.68
320;1645596.68
321;1645596.68
322;1645596.68
323;1645596.68
324;1645596.68
325;1645596.68
326;1645596.68
327;1645596.68
328;1645596.68
329;1645596.68
330;1645596.68
331;1645596.68
332;1645596.68
333;1645596.68
334;1645596.68
335;1645596.68
336;1645596.68
337;1645596.68
338;1645596.68
339;1645596.68
340;1645596.68
341;1645596.68
342;1645596.68
343;1645596.68
344;1645596.68
345;1645596.68
346;1645596.68
347;1645596.68
348;1645596.68
349;1645596.68
350;1645596.68
351;1645596.68
352;1645596.68
353;1645596.68
354;1645596.68
355;1645596.68
356;1645596.68
357;1645596.68
358;1645596.68
359;1645596.68
360;1645596.68
361;1645596.68
362;1645596.68
363;1645596.68
364;1645596.68
365;1645596.68
366;1645596.68
367;1645596.68
368;1645596.68
369;1645596.68
370;1645596.68
371;1645596.68
372;1645596.68
373;1645596.68
374;1645596.68
375;1645596.68
376;1645596.68
377;1645596.68
378;1645596.68
379;1645596.68
380;1645596.68
381;1645596.68
382;1645596.68
383;1645596.68
384;1645596.68
385;1645596.68
386;1645596.68
387;1645596.68
388;1645596.68
389;1645596.68
390;1645596.68
391;1645596.68
392;1645596.68
393;1645596.68
394;1645596.68
395;1645596.68
396;1645596.68
397;1645596.68
398;1645596.68
399;1645596.68
400;1645596.68
401;1645596.68
402;1645596.68
403;1645596.68
404;1645596.68
405;1645596.68
406;1645596.68
407;1645596.68
408;1645596.68
409;1645596.68
410;1645596.68
411;1645596.68
412;1645596.68
413;1645596.68
414;1645596.68
415;1645596.68
416;1645596.68
417;1645596.68
418;1645596.68
419;1645596.68
420;1645596.68
421;1645596.68
422;1645596.68
423;1645596.68
424;1645596.68
425;1645596.68
426;1645596.68
427;1645596.68
428;1645596.68
429;1645596.68
430;1645596.68
431;1645596.68
432;1645596.68
433;1645596.68
434;1645596.68
435;1645596.68
436;1645596.68
437;1645596.68
438;1645596.68
439;1645596.68
440;1645596.68
441;1645596.68
442;1645596.68
443;1645596.68
444;1645596.68
445;1645596.68
446;1645596.68
447;1645596.68
448;1645596.68
449;1645596.68
450;1645596.68
451;1645596.68
452;1645596.68
453;1645596.68
454;1645596.68
455;1645596.68
456;1645596.68
457;1645596.68
458;1645596.68
459;1645596.68
460;1645596.68
461;1645596.68
462;1645596.68
463;1645596.68
464;1645596.68
465;1645596.68
466;1645596.68
467;1645596.68
468;1645596.68
469;1645596.68
470;1645596.68
471;1645596.68
472;1645596.68
473;1645596.68
474;1645596.68
475;1645596.68
476;1645596.68
477;1645596.68
478;1645596.68
479;1645596.68
480;1645596.68
481;1645596.68
482;1645596.68
483;1645596.68
484;1645596.68
485;1645596.68
486;1645596.68
487;1645596.68
488;1645596.68
489;1645596.68
490;1645596.68
491;1645596.68
492;1645596.68
493;1645596.68
494;1645596.68
495;1645596.68
496;1645596.68
497;1645596.68
498;1645596.68
499;1645596.68
500;1645596.68
