Generation;Best_Trader_Fitness
1;452783.75
2;528166.82
3;961197.54
4;961197.54
5;961197.54
6;961197.54
7;1323589.68
8;1412335.37
9;1412335.37
10;1412335.37
11;1412335.37
12;1412335.37
13;1412335.37
14;1412335.37
15;1412335.37
16;1412335.37
17;1412335.37
18;1412335.37
19;1412335.37
20;1412335.37
21;1412335.37
22;1412335.37
23;1412335.37
24;1412335.37
25;1412335.37
26;1412335.37
27;1412335.37
28;1412335.37
29;1412335.37
30;1412335.37
31;1412335.37
32;1412335.37
33;1412335.37
34;1412335.37
35;1412335.37
36;1412335.37
37;1412335.37
38;1412335.37
39;1412335.37
40;1412335.37
41;1412335.37
42;1412335.37
43;1412335.37
44;1412335.37
45;1412335.37
46;1412335.37
47;1412335.37
48;1412335.37
49;1412335.37
50;1412335.37
51;1412335.37
52;1412335.37
53;1412335.37
54;1412335.37
55;1412335.37
56;1412335.37
57;1412335.37
58;1412335.37
59;1412335.37
60;1412335.37
61;1412335.37
62;1412335.37
63;1412335.37
64;1412335.37
65;1412335.37
66;1412335.37
67;1412335.37
68;1412335.37
69;1412335.37
70;1412335.37
71;1412335.37
72;1412335.37
73;1412335.37
74;1412335.37
75;1412335.37
76;1412335.37
77;1412335.37
78;1412335.37
79;1412335.37
80;1412335.37
81;1412335.37
82;1412335.37
83;1412335.37
84;1412335.37
85;1412335.37
86;1412335.37
87;1412335.37
88;1412335.37
89;1412335.37
90;1412335.37
91;1412335.37
92;1412335.37
93;1412335.37
94;1412335.37
95;1412335.37
96;1412335.37
97;1412335.37
98;1412335.37
99;1412335.37
100;1412335.37
101;1412335.37
102;1412335.37
103;1412335.37
104;1412335.37
105;1412335.37
106;1412335.37
107;1412335.37
108;1412335.37
109;1412335.37
110;1412335.37
111;1412335.37
112;1412335.37
113;1412335.37
114;1412335.37
115;1412335.37
116;1412335.37
117;1412335.37
118;1412335.37
119;1412335.37
120;1412335.37
121;1412335.37
122;1412335.37
123;1412335.37
124;1412335.37
125;1412335.37
126;1412335.37
127;1412335.37
128;1412335.37
129;1412335.37
130;1412335.37
131;1412335.37
132;1412335.37
133;1412335.37
134;1412335.37
135;1412335.37
136;1412335.37
137;1412335.37
138;1412335.37
139;1412335.37
140;1412335.37
141;1412335.37
142;1412335.37
143;1412335.37
144;1412335.37
145;1412335.37
146;1412335.37
147;1412335.37
148;1412335.37
149;1412335.37
150;1412335.37
151;1412335.37
152;1412335.37
153;1412335.37
154;1412335.37
155;1412335.37
156;1412335.37
157;1412335.37
158;1412335.37
159;1412335.37
160;1412335.37
161;1412335.37
162;1412335.37
163;1412335.37
164;1412335.37
165;1412335.37
166;1412335.37
167;1412335.37
168;1412335.37
169;1412335.37
170;1412335.37
171;1412335.37
172;1412335.37
173;1412335.37
174;1412335.37
175;1412335.37
176;1412335.37
177;1412335.37
178;1412335.37
179;1412335.37
180;1412335.37
181;1412335.37
182;1412335.37
183;1412335.37
184;1412335.37
185;1412335.37
186;1412335.37
187;1412335.37
188;1412335.37
189;1412335.37
190;1412335.37
191;1412335.37
192;1412335.37
193;1412335.37
194;1412335.37
195;1412335.37
196;1412335.37
197;1412335.37
198;1412335.37
199;1412335.37
200;1412335.37
201;1412335.37
202;1412335.37
203;1412335.37
204;1412335.37
205;1412335.37
206;1412335.37
207;1412335.37
208;1412335.37
209;1412335.37
210;1412335.37
211;1412335.37
212;1412335.37
213;1412335.37
214;1412335.37
215;1412335.37
216;1412335.37
217;1412335.37
218;1412335.37
219;1412335.37
220;1412335.37
221;1412335.37
222;1412335.37
223;1412335.37
224;1412335.37
225;1412335.37
226;1412335.37
227;1412335.37
228;1412335.37
229;1412335.37
230;1412335.37
231;1412335.37
232;1412335.37
233;1412335.37
234;1412335.37
235;1412335.37
236;1412335.37
237;1412335.37
238;1412335.37
239;1412335.37
240;1412335.37
241;1412335.37
242;1412335.37
243;1412335.37
244;1412335.37
245;1412335.37
246;1412335.37
247;1412335.37
248;1412335.37
249;1412335.37
250;1412335.37
251;1412335.37
252;1412335.37
253;1412335.37
254;1412335.37
255;1412335.37
256;1412335.37
257;1412335.37
258;1412335.37
259;1412335.37
260;1412335.37
261;1412335.37
262;1412335.37
263;1412335.37
264;1412335.37
265;1412335.37
266;1412335.37
267;1412335.37
268;1412335.37
269;1412335.37
270;1412335.37
271;1412335.37
272;1412335.37
273;1412335.37
274;1412335.37
275;1412335.37
276;1412335.37
277;1412335.37
278;1412335.37
279;1412335.37
280;1412335.37
281;1412335.37
282;1412335.37
283;1412335.37
284;1412335.37
285;1412335.37
286;1412335.37
287;1412335.37
288;1412335.37
289;1412335.37
290;1412335.37
291;1412335.37
292;1412335.37
293;1412335.37
294;1412335.37
295;1412335.37
296;1412335.37
297;1412335.37
298;1412335.37
299;1412335.37
300;1412335.37
301;1412335.37
302;1412335.37
303;1412335.37
304;1412335.37
305;1412335.37
306;1412335.37
307;1412335.37
308;1412335.37
309;1412335.37
310;1412335.37
311;1412335.37
312;1412335.37
313;1412335.37
314;1412335.37
315;1412335.37
316;1412335.37
317;1412335.37
318;1412335.37
319;1412335.37
320;1412335.37
321;1412335.37
322;1412335.37
323;1412335.37
324;1412335.37
325;1412335.37
326;1412335.37
327;1412335.37
328;1412335.37
329;1412335.37
330;1412335.37
331;1412335.37
332;1412335.37
333;1412335.37
334;1412335.37
335;1412335.37
336;1412335.37
337;1412335.37
338;1412335.37
339;1412335.37
340;1412335.37
341;1412335.37
342;1412335.37
343;1412335.37
344;1412335.37
345;1412335.37
346;1412335.37
347;1412335.37
348;1412335.37
349;1412335.37
350;1412335.37
351;1412335.37
352;1412335.37
353;1412335.37
354;1412335.37
355;1412335.37
356;1412335.37
357;1412335.37
358;1412335.37
359;1412335.37
360;1412335.37
361;1412335.37
362;1412335.37
363;1412335.37
364;1412335.37
365;1412335.37
366;1412335.37
367;1412335.37
368;1412335.37
369;1412335.37
370;1412335.37
371;1412335.37
372;1412335.37
373;1412335.37
374;1412335.37
375;1412335.37
376;1412335.37
377;1412335.37
378;1412335.37
379;1412335.37
380;1412335.37
381;1412335.37
382;1412335.37
383;1412335.37
384;1412335.37
385;1412335.37
386;1412335.37
387;1412335.37
388;1412335.37
389;1412335.37
390;1412335.37
391;1412335.37
392;1412335.37
393;1412335.37
394;1412335.37
395;1412335.37
396;1412335.37
397;1412335.37
398;1412335.37
399;1412335.37
400;1412335.37
401;1412335.37
402;1412335.37
403;1412335.37
404;1412335.37
405;1412335.37
406;1412335.37
407;1412335.37
408;1412335.37
409;1412335.37
410;1412335.37
411;1412335.37
412;1412335.37
413;1412335.37
414;1412335.37
415;1412335.37
416;1412335.37
417;1412335.37
418;1412335.37
419;1412335.37
420;1412335.37
421;1412335.37
422;1412335.37
423;1412335.37
424;1412335.37
425;1412335.37
426;1412335.37
427;1412335.37
428;1412335.37
429;1412335.37
430;1412335.37
431;1412335.37
432;1412335.37
433;1412335.37
434;1412335.37
435;1412335.37
436;1412335.37
437;1412335.37
438;1412335.37
439;1412335.37
440;1412335.37
441;1412335.37
442;1412335.37
443;1412335.37
444;1412335.37
445;1412335.37
446;1412335.37
447;1412335.37
448;1412335.37
449;1412335.37
450;1412335.37
451;1412335.37
452;1412335.37
453;1412335.37
454;1412335.37
455;1412335.37
456;1412335.37
457;1412335.37
458;1412335.37
459;1412335.37
460;1412335.37
461;1412335.37
462;1412335.37
463;1412335.37
464;1412335.37
465;1412335.37
466;1412335.37
467;1412335.37
468;1412335.37
469;1412335.37
470;1412335.37
471;1412335.37
472;1412335.37
473;1412335.37
474;1412335.37
475;1412335.37
476;1412335.37
477;1412335.37
478;1412335.37
479;1412335.37
480;1412335.37
481;1412335.37
482;1412335.37
483;1412335.37
484;1412335.37
485;1412335.37
486;1412335.37
487;1412335.37
488;1412335.37
489;1412335.37
490;1412335.37
491;1412335.37
492;1412335.37
493;1412335.37
494;1412335.37
495;1412335.37
496;1412335.37
497;1412335.37
498;1412335.37
499;1412335.37
500;1412335.37
