Generation;Best_Trader_Fitness
1;867700.15
2;867700.15
3;867700.15
4;1002998.11
5;1002998.11
6;1002998.11
7;1002998.11
8;1002998.11
9;1002998.11
10;1002998.11
11;1002998.11
12;1002998.11
13;1002998.11
14;1002998.11
15;1002998.11
16;1002998.11
17;1002998.11
18;1002998.11
19;1002998.11
20;1002998.11
21;1002998.11
22;1002998.11
23;1002998.11
24;1002998.11
25;1002998.11
26;1002998.11
27;1002998.11
28;1002998.11
29;1002998.11
30;1002998.11
31;1002998.11
32;1002998.11
33;1002998.11
34;1002998.11
35;1002998.11
36;1002998.11
37;1002998.11
38;1002998.11
39;1002998.11
40;1002998.11
41;1002998.11
42;1002998.11
43;1002998.11
44;1002998.11
45;1002998.11
46;1002998.11
47;1002998.11
48;1002998.11
49;1002998.11
50;1002998.11
51;1002998.11
52;1002998.11
53;1002998.11
54;1002998.11
55;1002998.11
56;1002998.11
57;1002998.11
58;1002998.11
59;1002998.11
60;1002998.11
61;1002998.11
62;1002998.11
63;1002998.11
64;1002998.11
65;1002998.11
66;1002998.11
67;1002998.11
68;1002998.11
69;1002998.11
70;1002998.11
71;1002998.11
72;1002998.11
73;1002998.11
74;1002998.11
75;1002998.11
76;1002998.11
77;1002998.11
78;1002998.11
79;1002998.11
80;1002998.11
81;1002998.11
82;1002998.11
83;1002998.11
84;1002998.11
85;1002998.11
86;1002998.11
87;1002998.11
88;1002998.11
89;1002998.11
90;1002998.11
91;1002998.11
92;1002998.11
93;1002998.11
94;1002998.11
95;1002998.11
96;1002998.11
97;1002998.11
98;1002998.11
99;1002998.11
100;1002998.11
101;1002998.11
102;1002998.11
103;1002998.11
104;1002998.11
105;1002998.11
106;1002998.11
107;1002998.11
108;1002998.11
109;1002998.11
110;1002998.11
111;1002998.11
112;1002998.11
113;1002998.11
114;1002998.11
115;1002998.11
116;1002998.11
117;1002998.11
118;1002998.11
119;1002998.11
120;1002998.11
121;1002998.11
122;1002998.11
123;1002998.11
124;1002998.11
125;1002998.11
126;1002998.11
127;1002998.11
128;1002998.11
129;1002998.11
130;1002998.11
131;1002998.11
132;1002998.11
133;1002998.11
134;1002998.11
135;1002998.11
136;1002998.11
137;1002998.11
138;1002998.11
139;1002998.11
140;1002998.11
141;1002998.11
142;1002998.11
143;1002998.11
144;1002998.11
145;1002998.11
146;1002998.11
147;1002998.11
148;1002998.11
149;1002998.11
150;1002998.11
151;1002998.11
152;1002998.11
153;1002998.11
154;1002998.11
155;1002998.11
156;1002998.11
157;1002998.11
158;1002998.11
159;1002998.11
160;1002998.11
161;1002998.11
162;1002998.11
163;1002998.11
164;1002998.11
165;1002998.11
166;1002998.11
167;1002998.11
168;1002998.11
169;1002998.11
170;1002998.11
171;1002998.11
172;1002998.11
173;1002998.11
174;1002998.11
175;1002998.11
176;1002998.11
177;1002998.11
178;1002998.11
179;1002998.11
180;1002998.11
181;1002998.11
182;1002998.11
183;1002998.11
184;1002998.11
185;1002998.11
186;1002998.11
187;1002998.11
188;1002998.11
189;1002998.11
190;1002998.11
191;1002998.11
192;1002998.11
193;1002998.11
194;1002998.11
195;1002998.11
196;1002998.11
197;1002998.11
198;1002998.11
199;1002998.11
200;1002998.11
201;1002998.11
202;1002998.11
203;1002998.11
204;1002998.11
205;1002998.11
206;1002998.11
207;1002998.11
208;1002998.11
209;1002998.11
210;1002998.11
211;1002998.11
212;1002998.11
213;1002998.11
214;1002998.11
215;1002998.11
216;1002998.11
217;1002998.11
218;1002998.11
219;1002998.11
220;1002998.11
221;1002998.11
222;1002998.11
223;1002998.11
224;1002998.11
225;1002998.11
226;1002998.11
227;1002998.11
228;1002998.11
229;1002998.11
230;1002998.11
231;1002998.11
232;1002998.11
233;1002998.11
234;1002998.11
235;1002998.11
236;1002998.11
237;1002998.11
238;1002998.11
239;1002998.11
240;1002998.11
241;1002998.11
242;1002998.11
243;1002998.11
244;1002998.11
245;1002998.11
246;1002998.11
247;1002998.11
248;1002998.11
249;1002998.11
250;1002998.11
251;1002998.11
252;1002998.11
253;1002998.11
254;1002998.11
255;1002998.11
256;1002998.11
257;1002998.11
258;1002998.11
259;1002998.11
260;1002998.11
261;1002998.11
262;1002998.11
263;1002998.11
264;1002998.11
265;1002998.11
266;1002998.11
267;1002998.11
268;1002998.11
269;1002998.11
270;1002998.11
271;1002998.11
272;1002998.11
273;1002998.11
274;1122133.65
275;1122133.65
276;1122133.65
277;1122133.65
278;1122133.65
279;1122133.65
280;1122133.65
281;1122133.65
282;1122133.65
283;1122133.65
284;1122133.65
285;1122133.65
286;1122133.65
287;1122133.65
288;1122133.65
289;1122133.65
290;1122133.65
291;1122133.65
292;1122133.65
293;1122133.65
294;1122133.65
295;1122133.65
296;1122133.65
297;1122133.65
298;1122133.65
299;1122133.65
300;1122133.65
301;1122133.65
302;1122133.65
303;1122133.65
304;1122133.65
305;1122133.65
306;1122133.65
307;1122133.65
308;1122133.65
309;1122133.65
310;1122133.65
311;1122133.65
312;1122133.65
313;1122133.65
314;1122133.65
315;1122133.65
316;1122133.65
317;1122133.65
318;1122133.65
319;1122133.65
320;1122133.65
321;1122133.65
322;1122133.65
323;1122133.65
324;1122133.65
325;1122133.65
326;1122133.65
327;1122133.65
328;1122133.65
329;1122133.65
