Generation;Best_Trader_Fitness;Average_Fitness_of_Population
1;1105872.33;101917.4
2;1105872.33;153812.76
3;1105872.33;190906.17
4;1105872.33;187611.73
5;1105872.33;199605.92
6;1105872.33;217004.0
7;1105872.33;272738.3
8;1105872.33;228775.09
9;1105872.33;243328.33
10;1105872.33;231297.06
11;1289162.32;356250.58
12;1289162.32;352273.67
13;1289162.32;347584.55
14;1289162.32;631828.37
15;1289162.32;417412.51
16;1289162.32;451365.79
17;1289162.32;365244.41
18;1289162.32;443202.63
19;1289162.32;393075.43
20;1289162.32;355301.06
21;1289162.32;401860.28
22;1289162.32;280229.25
23;1289162.32;422259.63
24;1289162.32;352460.74
25;1289162.32;278056.29
26;1289162.32;323016.63
27;1289162.32;412856.59
28;1289162.32;437636.32
29;1289162.32;424008.89
30;1289162.32;482388.46
31;1289162.32;556903.58
32;1289162.32;296897.46
33;1289162.32;221607.07
34;1289162.32;222568.22
35;1289162.32;250271.31
36;1289162.32;229377.9
37;1289162.32;274883.3
38;1289162.32;315909.9
39;1289162.32;264019.33
40;1289162.32;604149.9
41;1289162.32;243762.79
42;1289162.32;241269.15
43;1289162.32;260616.65
44;1289162.32;199091.04
45;1289162.32;261954.74
46;1289162.32;198124.77
47;1289162.32;265245.93
48;1289162.32;166087.19
49;1289162.32;156786.91
50;1289162.32;157818.78
51;1289162.32;148941.39
52;1289162.32;178403.38
53;1289162.32;288185.96
54;1289162.32;168734.85
55;1289162.32;222013.92
56;1289162.32;232116.31
57;1289162.32;156327.26
58;1289162.32;196146.73
59;1289162.32;155285.57
60;1289162.32;168588.94
61;1289162.32;282764.56
62;1289162.32;147066.74
63;1289162.32;138349.49
64;1289162.32;129520.45
65;1289162.32;174178.37
66;1289162.32;166109.71
67;1289162.32;177208.2
68;1289162.32;165170.98
69;1289162.32;178133.24
70;1289162.32;227925.55
71;1289162.32;208627.02
72;1289162.32;217562.43
73;1289162.32;181902.83
74;1289162.32;216680.21
75;1289162.32;231234.59
76;1289162.32;196548.76
77;1289162.32;228651.41
78;1289162.32;395981.44
79;1289162.32;214713.87
80;1289162.32;210887.42
81;1289162.32;193373.85
82;1289162.32;155359.94
83;1289162.32;183822.18
84;1289162.32;157861.03
85;1289162.32;161896.52
86;1289162.32;169774.35
87;1289162.32;191165.47
88;1289162.32;202077.02
89;1289162.32;155697.44
90;1289162.32;162158.72
91;1289162.32;154545.5
92;1289162.32;191643.56
93;1289162.32;194263.9
94;1289162.32;189966.1
95;1289162.32;182737.77
96;1289162.32;149751.13
97;1289162.32;188364.22
98;1289162.32;190411.3
99;1289162.32;205238.07
100;1289162.32;189422.6
101;1289162.32;255939.47
102;1289162.32;273329.22
103;1289162.32;341638.08
104;1289162.32;157280.78
105;1289162.32;193893.49
