Generation;Best_Trader_Fitness;Average_Fitness_of_Population
1;679419.76;107893.41
2;795703.46;154443.7
3;795703.46;244482.45
4;795703.46;217274.34
5;795703.46;230068.82
6;795703.46;311089.59
7;795703.46;256602.38
8;795703.46;237059.83
9;795703.46;215296.52
10;795703.46;248660.73
11;795703.46;206657.87
12;795703.46;222191.35
13;795703.46;189297.6
14;795703.46;312145.0
15;976935.59;388710.77
16;976935.59;171087.71
17;976935.59;236851.82
18;976935.59;195522.23
19;976935.59;175313.72
20;976935.59;312293.13
21;976935.59;204485.11
22;976935.59;188940.16
23;976935.59;231485.36
24;976935.59;278612.68
25;976935.59;227395.28
26;976935.59;168943.39
27;976935.59;241782.08
28;976935.59;313580.93
29;976935.59;244656.79
30;976935.59;199921.99
31;976935.59;276137.46
32;976935.59;280803.48
33;976935.59;184785.48
34;976935.59;288887.8
35;976935.59;301171.07
36;976935.59;281201.65
37;976935.59;196103.43
38;976935.59;192235.77
39;976935.59;201608.16
40;976935.59;170606.65
41;976935.59;169560.88
42;976935.59;217936.08
43;976935.59;199436.63
44;976935.59;256311.6
45;976935.59;257472.05
46;976935.59;320685.52
47;976935.59;249944.4
48;976935.59;274901.09
49;976935.59;264046.23
50;976935.59;323222.21
51;976935.59;219824.12
52;976935.59;291524.17
53;976935.59;301669.51
54;976935.59;275190.22
55;976935.59;398864.18
56;976935.59;414450.5
57;976935.59;279550.91
58;976935.59;363067.3
59;976935.59;328141.85
60;976935.59;337295.07
61;976935.59;271604.94
62;976935.59;259408.01
63;976935.59;211450.3
64;976935.59;255583.98
65;976935.59;348945.33
66;976935.59;216272.53
67;976935.59;262141.36
68;976935.59;177976.79
69;976935.59;192014.13
70;976935.59;359301.9
71;976935.59;191080.62
72;976935.59;174979.93
73;976935.59;183853.6
74;976935.59;143249.62
75;976935.59;139092.07
76;976935.59;164587.07
77;976935.59;154350.29
78;976935.59;157427.02
79;976935.59;165369.86
80;976935.59;147865.78
81;976935.59;170031.29
82;976935.59;148931.8
83;976935.59;147255.16
84;976935.59;175672.4
85;976935.59;165777.31
86;976935.59;152146.6
87;976935.59;219546.01
88;976935.59;200778.97
89;976935.59;161859.22
90;976935.59;154877.52
91;976935.59;154362.49
92;976935.59;168840.55
93;976935.59;119052.32
94;976935.59;127196.36
95;976935.59;128503.47
96;976935.59;132171.47
97;976935.59;139232.41
98;976935.59;138197.38
99;976935.59;161638.01
100;976935.59;111187.09
101;976935.59;99448.63
102;976935.59;161490.77
103;976935.59;125828.64
104;976935.59;182026.25
105;976935.59;133242.88
106;976935.59;132340.84
107;976935.59;113801.32
108;976935.59;105635.29
109;976935.59;99516.14
110;976935.59;133455.7
111;976935.59;101564.75
112;976935.59;109833.44
113;976935.59;118326.77
114;976935.59;119463.37
115;976935.59;93805.14
116;976935.59;94799.94
117;976935.59;93844.06
118;976935.59;96456.7
119;976935.59;138434.8
120;976935.59;139457.24
121;976935.59;113509.59
122;976935.59;112942.71
123;976935.59;154861.27
124;976935.59;151759.49
125;976935.59;171220.96
126;976935.59;139796.1
127;976935.59;184543.76
128;976935.59;207357.28
129;1031624.79;607298.01
130;1031624.79;254986.83
131;1031624.79;201680.14
132;1031624.79;186018.21
