Generation;Best_Trader_Fitness;Average_Fitness_of_Population
1;488457.16;107030.58
2;488457.16;128955.0
3;742364.0;147465.34
4;742364.0;279975.68
5;742364.0;201115.26
6;742364.0;308791.12
7;742364.0;193469.76
8;742364.0;242263.04
9;761566.37;421340.68
10;761566.37;288165.76
11;761566.37;304872.19
12;761566.37;281794.26
13;854694.16;305267.97
14;983421.27;376375.84
15;983421.27;335782.28
16;1394487.44;537560.98
17;1394487.44;406913.53
18;1394487.44;302932.24
19;1394487.44;417340.24
20;1394487.44;343763.91
21;1394487.44;266890.88
22;1394487.44;254483.89
23;1394487.44;331820.27
24;1394487.44;403972.93
25;1394487.44;222681.33
26;1394487.44;326535.79
27;1394487.44;251069.51
28;1394487.44;231264.04
29;1394487.44;210669.45
30;1394487.44;284025.21
31;1394487.44;262559.26
32;1394487.44;274490.72
33;1394487.44;259504.84
34;1394487.44;325121.27
35;1394487.44;278452.85
36;1394487.44;237413.12
37;1394487.44;187514.08
38;1394487.44;232176.07
39;1394487.44;185293.64
40;1394487.44;152436.1
41;1394487.44;158557.24
42;1394487.44;175379.03
43;1394487.44;211569.55
44;1394487.44;199236.47
45;1394487.44;179429.03
46;1394487.44;188473.56
47;1394487.44;162410.43
48;1394487.44;156033.01
49;1394487.44;153261.78
50;1394487.44;174969.77
51;1394487.44;167851.73
52;1394487.44;148081.78
53;1394487.44;161812.17
54;1394487.44;146312.17
55;1394487.44;164581.54
56;1394487.44;151320.08
57;1394487.44;158342.29
58;1394487.44;154065.61
59;1394487.44;153650.1
60;1394487.44;160303.33
61;1394487.44;171546.36
62;1394487.44;174788.79
63;1394487.44;154873.21
64;1394487.44;185963.52
65;1394487.44;150025.97
66;1394487.44;159123.36
67;1394487.44;173655.35
68;1394487.44;157662.88
69;1394487.44;171427.15
70;1394487.44;149376.06
71;1394487.44;157046.38
72;1394487.44;147802.61
73;1394487.44;162671.17
74;1394487.44;155002.96
75;1394487.44;170551.14
76;1394487.44;137312.37
77;1394487.44;184741.45
78;1394487.44;134139.71
79;1394487.44;144024.95
80;1394487.44;138612.82
81;1394487.44;148056.91
82;1394487.44;137539.68
83;1394487.44;148637.29
84;1394487.44;138896.33
85;1394487.44;140641.87
86;1394487.44;156042.68
87;1394487.44;152673.43
88;1394487.44;160829.28
89;1394487.44;164741.07
90;1394487.44;142935.67
91;1394487.44;187754.07
92;1394487.44;135479.73
93;1394487.44;138318.91
94;1394487.44;152649.35
95;1394487.44;159059.22
96;1394487.44;141172.32
