Generation;Best_Trader_Fitness;Average_Fitness_of_Population
1;792008.24;110492.06
2;792008.24;216660.58
3;1254562.63;476655.39
4;1254562.63;406195.62
5;1597182.34;775494.72
6;1597182.34;495212.7
7;1690366.69;1039246.42
8;1690366.69;854387.61
9;1690366.69;1019663.31
10;1690366.69;741729.05
11;1690366.69;996964.6
12;1690366.69;800259.57
13;1690366.69;932872.43
14;1690366.69;662420.53
15;1690366.69;664570.98
16;1690366.69;384406.44
17;1690366.69;315193.45
18;1690366.69;432859.45
19;1690366.69;348378.59
20;1690366.69;325174.68
21;1690366.69;535784.29
22;1690366.69;423330.78
23;1690366.69;407244.93
24;1690366.69;518492.62
25;1690366.69;376399.08
26;1690366.69;386036.49
27;1690366.69;367593.71
28;1690366.69;317777.29
29;1690366.69;302948.26
30;1690366.69;295344.13
31;1690366.69;246720.62
32;1690366.69;265550.83
33;1690366.69;251315.95
34;1690366.69;302297.21
35;1690366.69;282295.82
36;1690366.69;324105.81
37;1690366.69;297727.72
38;1690366.69;281225.67
39;1690366.69;253063.81
40;1690366.69;322277.16
41;1690366.69;340240.97
42;1690366.69;283397.84
43;1690366.69;337595.66
44;1690366.69;277614.22
45;1690366.69;318675.31
46;1690366.69;315342.84
47;1690366.69;314811.29
48;1690366.69;217099.75
49;1690366.69;218487.65
50;1690366.69;243332.3
51;1690366.69;252795.2
52;1690366.69;274975.08
53;1690366.69;298377.82
54;1690366.69;305359.78
55;1690366.69;492224.25
56;1690366.69;249936.26
57;1690366.69;365179.26
58;1690366.69;390777.22
59;1690366.69;974488.55
60;1690366.69;441745.6
61;1690366.69;539805.44
62;1690366.69;744423.92
63;1690366.69;593377.51
64;1690366.69;508378.27
65;1690366.69;442473.89
66;1690366.69;467994.35
67;1690366.69;449970.57
68;1690366.69;471733.03
69;1690366.69;330751.16
70;1690366.69;300148.19
71;1690366.69;305128.75
72;1690366.69;282778.0
73;1690366.69;297683.93
74;1690366.69;320364.77
75;1690366.69;326551.77
76;1690366.69;281644.7
77;1690366.69;277943.42
78;1690366.69;293621.94
79;1690366.69;324099.47
80;1690366.69;263099.27
81;1690366.69;297798.63
82;1690366.69;203806.07
83;1690366.69;218252.3
84;1690366.69;213993.76
85;1690366.69;178500.54
86;1690366.69;191761.64
87;1690366.69;165547.13
88;1690366.69;181679.2
89;1690366.69;200163.25
90;1690366.69;194087.36
91;1690366.69;178226.07
92;1690366.69;190454.4
93;1690366.69;187692.86
94;1690366.69;204401.62
95;1690366.69;210272.16
96;1690366.69;230967.78
97;1690366.69;185696.76
98;1690366.69;281880.6
99;1690366.69;215566.25
100;1690366.69;221704.41
101;1690366.69;216530.25
102;1690366.69;241454.44
103;1690366.69;231780.88
104;1690366.69;226103.74
105;1690366.69;229740.41
106;1690366.69;258577.95
107;1690366.69;238966.1
108;1690366.69;248944.81
109;1690366.69;237051.86
110;1690366.69;355529.98
111;1690366.69;237757.76
112;1690366.69;230859.1
113;1690366.69;254480.53
114;1690366.69;258083.19
115;1690366.69;621083.8
116;1690366.69;222002.84
117;1690366.69;248307.18
118;1690366.69;462874.65
119;1690366.69;399571.61
120;1690366.69;249693.45
121;1690366.69;268777.36
122;1690366.69;325760.84
123;1690366.69;307458.65
124;1690366.69;318214.26
125;1690366.69;256885.49
126;1690366.69;255438.31
127;1690366.69;246703.63
128;1690366.69;235700.03
129;1690366.69;330466.66
130;1690366.69;266774.06
131;1690366.69;259022.06
132;1690366.69;273626.58
133;1690366.69;249214.7
134;1690366.69;230266.76
135;1690366.69;228758.28
136;1690366.69;308438.12
137;1690366.69;211805.87
138;1690366.69;218300.06
139;1690366.69;263029.69
140;1690366.69;218587.53
141;1690366.69;265436.45
142;1690366.69;212249.46
143;1690366.69;257125.8
144;1690366.69;242546.23
145;1690366.69;241554.69
146;1690366.69;207360.66
147;1690366.69;175925.31
148;1690366.69;174529.84
149;1690366.69;199837.08
150;1690366.69;202029.74
151;1690366.69;179989.31
152;1690366.69;186857.95
153;1690366.69;182413.62
154;1690366.69;160605.75
155;1690366.69;174528.57
156;1690366.69;164643.64
157;1690366.69;161828.19
158;1690366.69;173940.25
159;1690366.69;161223.83
160;1690366.69;158554.84
161;1690366.69;156062.96
162;1690366.69;156578.49
163;1690366.69;162351.45
164;1690366.69;198840.08
165;1690366.69;162324.01
166;1690366.69;158403.03
167;1690366.69;208442.43
168;1690366.69;191312.6
169;1690366.69;192045.32
170;1690366.69;199674.41
171;1690366.69;214384.04
172;1690366.69;273059.89
173;1690366.69;297448.23
174;1690366.69;201021.57
175;1690366.69;221792.29
176;1690366.69;189049.82
177;1690366.69;202619.14
178;1690366.69;187391.04
179;1690366.69;196864.27
180;1690366.69;388017.0
181;1690366.69;202571.14
182;1690366.69;201256.1
183;1690366.69;252215.94
184;1690366.69;190736.81
185;1690366.69;248245.49
186;1690366.69;184464.48
187;1690366.69;270977.89
188;1690366.69;212582.69
189;1690366.69;198212.63
190;1690366.69;204890.35
191;1690366.69;209065.08
192;1690366.69;219055.69
193;1690366.69;286238.49
194;1690366.69;239206.43
195;1690366.69;222134.54
196;1690366.69;253108.81
197;1690366.69;259063.08
198;1690366.69;309287.73
199;1690366.69;367921.56
200;1690366.69;322865.57
201;1690366.69;372855.8
202;1690366.69;278401.0
203;1690366.69;589639.92
204;1690366.69;276038.02
205;1690366.69;341563.7
206;1690366.69;422029.23
207;1690366.69;408459.72
208;1690366.69;456951.61
209;1690366.69;335525.5
210;1690366.69;462156.45
211;1690366.69;355831.88
212;1690366.69;236312.44
213;1690366.69;235680.19
214;1690366.69;283660.49
215;1690366.69;297398.06
216;1690366.69;292540.62
217;1690366.69;305421.91
218;1690366.69;221579.95
219;1690366.69;240052.25
220;1690366.69;306498.54
221;1690366.69;206625.59
222;1690366.69;213400.9
223;1690366.69;265705.33
224;1690366.69;255004.9
225;1690366.69;235565.64
226;1690366.69;299926.35
227;1690366.69;212226.72
228;1690366.69;244560.46
229;1690366.69;233668.75
230;1690366.69;253991.0
231;1690366.69;285724.75
232;1690366.69;355575.22
233;1690366.69;236972.74
234;1690366.69;269130.86
235;1690366.69;241777.72
236;1690366.69;203930.31
237;1690366.69;391525.15
238;1690366.69;242172.22
239;1690366.69;490945.6
240;1690366.69;323747.94
241;1690366.69;360707.12
242;1690366.69;459214.49
243;1690366.69;304347.05
244;1690366.69;431776.8
245;1690366.69;288799.37
246;1690366.69;260651.11
247;1690366.69;300468.98
248;1690366.69;322833.99
249;1690366.69;251565.39
250;1690366.69;288702.24
251;1690366.69;352037.94
252;1690366.69;330195.09
253;1690366.69;270333.67
254;1690366.69;279562.01
255;1690366.69;284054.22
256;1690366.69;344228.23
257;1690366.69;268584.01
258;1690366.69;268144.86
259;1690366.69;292710.92
260;1690366.69;275826.55
261;1690366.69;279944.1
262;1690366.69;246822.42
263;1690366.69;224283.64
264;1690366.69;274476.98
265;1690366.69;210657.19
266;1690366.69;246575.05
267;1690366.69;245576.48
268;1690366.69;198955.93
269;1690366.69;253213.3
270;1690366.69;223773.06
271;1690366.69;224389.31
272;1690366.69;237247.12
273;1690366.69;251766.71
274;1690366.69;316180.53
275;1690366.69;243233.53
276;1690366.69;233559.32
277;1690366.69;234515.79
278;1690366.69;244756.74
279;1690366.69;240136.82
280;1690366.69;232019.12
281;1690366.69;233333.08
282;1690366.69;250467.43
283;1690366.69;277354.87
284;1690366.69;210090.57
285;1690366.69;200660.58
286;1690366.69;206577.34
287;1690366.69;256764.77
288;1690366.69;248509.85
289;1690366.69;212108.35
290;1690366.69;172788.39
291;1690366.69;261023.89
292;1690366.69;230089.51
293;1690366.69;229166.62
294;1690366.69;225994.87
295;1690366.69;182609.59
296;1690366.69;173407.44
297;1690366.69;168037.78
298;1690366.69;170717.87
299;1690366.69;251519.88
300;1690366.69;180238.08
