Generation;Best_Trader_Fitness;Average_Fitness_of_Population
1;472429.58;88446.74
2;472429.58;112708.49
3;472429.58;143219.04
4;487385.71;169011.23
5;487385.71;153626.59
6;487385.71;150724.43
7;487385.71;194224.27
8;487385.71;212517.75
9;487385.71;197921.31
10;487385.71;223804.75
11;487385.71;246461.05
12;487385.71;193540.55
13;487385.71;277749.78
14;487385.71;209644.13
15;487385.71;245917.22
16;487385.71;221992.36
17;487385.71;153149.24
18;487385.71;208761.29
19;487385.71;208130.96
20;487385.71;261109.81
21;487385.71;188739.27
22;487385.71;195700.6
23;487385.71;211046.99
24;487385.71;222532.1
25;487385.71;218202.45
26;487385.71;210437.33
27;487385.71;222790.25
28;487385.71;213139.96
29;487385.71;193686.21
30;487385.71;204034.63
31;487385.71;164726.79
32;487385.71;170078.59
33;487385.71;222685.86
34;487385.71;247276.86
35;487385.71;242559.21
36;487385.71;241344.04
37;487385.71;222376.83
38;487385.71;216613.52
39;487385.71;277097.77
40;487385.71;273250.58
41;487385.71;223944.72
42;487385.71;261728.61
43;487385.71;198099.49
44;487385.71;171093.57
45;487385.71;160643.94
46;487385.71;186015.08
47;487385.71;179848.0
48;487385.71;203588.18
49;487385.71;130151.87
50;487385.71;153329.96
51;487385.71;167758.05
52;487385.71;144343.42
53;487385.71;145404.28
54;487385.71;144343.42
55;487385.71;131602.61
56;487385.71;136685.22
57;487385.71;143212.48
58;487385.71;134683.95
59;487385.71;151153.31
60;487385.71;206108.73
61;487385.71;202176.81
62;487385.71;126530.55
63;487385.71;157423.91
64;487385.71;125410.84
65;487385.71;127879.07
66;487385.71;127879.07
67;487385.71;154896.09
68;487385.71;237549.03
69;487385.71;200912.2
70;487385.71;237549.03
71;487385.71;213776.66
72;487385.71;127622.79
73;487385.71;145953.92
74;487385.71;145953.92
75;487385.71;145953.92
76;487385.71;145953.92
77;487385.71;145953.92
78;487385.71;128030.0
79;487385.71;145953.92
80;487385.71;128030.0
81;487385.71;128030.0
82;487385.71;121915.83
83;487385.71;77111.15
84;487385.71;66814.02
85;487385.71;66814.02
86;487385.71;82313.41
87;487385.71;82313.41
88;487385.71;94501.39
89;487385.71;78746.93
90;487385.71;78746.93
91;487385.71;78746.93
92;487385.71;90959.33
93;487385.71;100336.61
94;487385.71;90959.33
95;487385.71;100336.61
96;487385.71;91640.6
97;487385.71;91640.6
98;487385.71;89566.94
99;487385.71;89566.94
100;487385.71;80801.71
101;487385.71;92298.56
102;487385.71;89046.71
103;487385.71;105243.78
104;487385.71;89046.71
105;487385.71;89046.71
106;487385.71;100657.77
107;487385.71;100657.77
108;487385.71;84416.55
109;487385.71;85563.62
110;487385.71;107191.32
111;487385.71;91499.29
112;487385.71;95638.45
113;487385.71;95638.45
114;487385.71;95638.45
115;487385.71;94733.53
116;487385.71;94733.53
117;487385.71;94733.53
118;487385.71;77120.44
119;487385.71;77120.44
120;487385.71;77120.44
121;487385.71;77120.44
122;487385.71;77120.44
123;487385.71;101788.42
124;487385.71;84302.52
125;487385.71;82218.82
126;487385.71;95352.71
127;487385.71;95352.71
128;487385.71;95352.71
129;487385.71;89834.21
130;487385.71;125491.81
131;487385.71;125491.81
132;487385.71;99956.49
133;487385.71;125563.0
134;487385.71;168513.23
135;487385.71;168513.23
136;487385.71;168513.23
137;487385.71;168513.23
138;487385.71;125563.0
139;487385.71;125563.0
140;487385.71;79304.91
141;487385.71;191566.15
142;487385.71;126918.06
143;487385.71;113284.04
144;487385.71;120138.49
145;487385.71;164731.97
146;487385.71;123996.52
147;487385.71;123996.52
