Generation;Best_Trader_Fitness;Average_Fitness_of_Population
1;747564.35;112156.85
2;747564.35;160213.83
3;747564.35;193819.89
4;747564.35;215777.46
5;747564.35;189342.49
6;747564.35;246558.34
7;956002.32;281144.52
8;956002.32;258730.99
9;956002.32;277517.01
10;956002.32;355892.86
11;956002.32;348723.85
12;956002.32;270695.64
13;1233651.7;561891.58
14;1233651.7;444138.26
15;1233651.7;603861.25
16;1233651.7;547990.23
17;1233651.7;430026.84
18;1233651.7;487626.96
19;1233651.7;594537.13
20;1233651.7;612234.42
21;1233651.7;602243.52
22;1233651.7;622139.81
23;1233651.7;689240.74
24;1233651.7;671935.13
25;1334991.0;750824.05
26;1334991.0;663998.26
27;1334991.0;637101.88
28;1334991.0;651697.39
29;1334991.0;501238.62
30;1334991.0;401031.6
31;1334991.0;567171.27
32;1334991.0;731187.71
33;1334991.0;579453.8
34;1334991.0;476453.23
35;1334991.0;607393.58
36;1334991.0;451070.87
37;1334991.0;558872.44
38;1334991.0;413506.95
39;1334991.0;409381.6
40;1334991.0;405240.43
41;1334991.0;398607.82
42;1334991.0;322214.4
43;1334991.0;436800.11
44;1334991.0;543290.59
45;1334991.0;329079.21
46;1334991.0;572397.21
47;1334991.0;312580.59
48;1334991.0;621509.0
49;1334991.0;410924.42
50;1334991.0;588580.37
51;1334991.0;517054.3
52;1334991.0;707606.04
53;1334991.0;732094.11
54;1861302.81;1027320.17
55;1861302.81;517020.14
56;1861302.81;536281.22
57;1861302.81;560266.8
58;1861302.81;934354.47
59;1861302.81;413079.36
60;1861302.81;396341.28
61;1861302.81;463496.86
62;1861302.81;373181.93
63;1861302.81;386747.31
64;1861302.81;422822.44
65;1861302.81;429112.53
66;1861302.81;312681.26
67;1861302.81;317597.54
68;1861302.81;264578.51
69;1861302.81;259202.81
70;1861302.81;269842.49
71;1861302.81;277894.93
72;1861302.81;267191.94
73;1861302.81;284834.66
74;1861302.81;291637.3
75;1861302.81;355042.96
76;1861302.81;260647.71
77;1861302.81;384004.56
78;1861302.81;355219.21
79;1861302.81;291237.68
80;1861302.81;329513.89
81;1861302.81;271583.39
82;1861302.81;282574.88
83;1861302.81;254875.21
84;1861302.81;291067.53
85;1861302.81;312609.49
86;1861302.81;317393.89
87;1861302.81;288430.1
88;1861302.81;321213.75
89;1861302.81;280051.13
90;1861302.81;299137.14
91;1861302.81;317655.5
92;1861302.81;346884.52
93;1861302.81;334159.41
94;1861302.81;317781.44
95;1861302.81;262723.68
96;1861302.81;253865.99
97;1861302.81;267474.54
98;1861302.81;248710.9
99;1861302.81;263850.96
100;1861302.81;250315.09
101;1861302.81;240257.84
102;1861302.81;236941.43
103;1861302.81;256633.2
104;1861302.81;292253.05
105;1861302.81;275534.99
106;1861302.81;264994.08
107;1861302.81;279155.44
108;1861302.81;279554.39
109;1861302.81;277830.57
110;1861302.81;268003.47
111;1861302.81;264238.62
112;1861302.81;247342.38
113;1861302.81;206864.35
114;1861302.81;220929.13
115;1861302.81;243905.05
116;1861302.81;209977.33
117;1861302.81;218140.82
118;1861302.81;250808.72
119;1861302.81;251594.4
120;1861302.81;257365.92
121;1861302.81;301013.44
122;1861302.81;274232.35
123;1861302.81;305876.92
124;1861302.81;250466.03
125;1861302.81;248234.07
126;1861302.81;226372.25
127;1861302.81;271816.27
128;1861302.81;249297.25
129;1861302.81;251092.38
130;1861302.81;300669.5
131;1861302.81;265029.67
132;1861302.81;273058.21
133;1861302.81;347175.06
134;1861302.81;276085.42
135;1861302.81;311654.6
136;1861302.81;393793.59
137;1861302.81;297246.67
138;1861302.81;312085.41
139;1861302.81;293245.43
140;1861302.81;357551.51
141;1861302.81;270353.4
142;1861302.81;268623.38
143;1861302.81;295843.58
