Generation;Best_Trader_Fitness;Average_Fitness_of_Population
1;340789.51;84305.53
2;392631.83;105915.88
3;392631.83;116506.96
4;392631.83;155383.78
5;392631.83;154270.0
6;392631.83;170854.69
7;392631.83;214471.37
8;419522.15;222039.84
9;419522.15;247686.9
10;419522.15;274607.5
11;419522.15;188618.58
12;419522.15;246639.39
13;419522.15;241146.08
14;537001.29;347345.57
15;537001.29;229181.09
16;537001.29;249697.86
17;537001.29;235591.79
18;537001.29;179563.03
19;537001.29;180274.0
20;537001.29;196909.56
21;537001.29;313855.67
22;537001.29;180079.31
23;537001.29;183813.87
24;537001.29;218300.15
25;537001.29;283870.53
26;537001.29;269242.82
27;537001.29;210404.96
28;537001.29;198056.61
29;537001.29;280725.91
30;537001.29;217191.37
31;834046.46;449828.8
32;834046.46;309476.27
33;834046.46;177379.82
34;834046.46;186782.36
35;834046.46;177125.95
36;834046.46;195834.83
37;834046.46;210561.43
38;834046.46;228522.18
39;834046.46;186541.58
40;834046.46;217216.33
41;834046.46;207524.49
42;834046.46;217216.33
43;834046.46;217216.33
44;834046.46;217216.33
45;834046.46;213171.81
46;834046.46;261340.74
47;834046.46;265999.15
48;834046.46;265999.15
49;834046.46;216050.41
50;834046.46;252860.99
51;834046.46;219586.33
52;834046.46;195043.23
53;834046.46;195043.23
54;834046.46;195043.23
55;834046.46;219586.33
56;834046.46;219586.33
57;834046.46;197728.63
58;834046.46;197728.63
59;834046.46;197728.63
60;834046.46;197728.63
61;834046.46;197728.63
62;834046.46;197728.63
63;834046.46;172525.56
64;834046.46;172525.56
65;834046.46;172525.56
66;834046.46;197728.63
67;834046.46;197728.63
68;834046.46;246178.99
69;834046.46;246178.99
70;834046.46;203156.83
71;834046.46;180255.62
72;834046.46;165213.77
73;834046.46;156191.05
74;834046.46;129572.41
75;834046.46;146171.46
76;834046.46;122380.53
77;834046.46;122380.53
78;834046.46;122380.53
79;834046.46;155177.3
80;834046.46;122380.53
81;834046.46;122380.53
82;834046.46;162505.25
83;834046.46;162505.25
84;834046.46;162505.25
85;834046.46;138659.65
86;834046.46;138659.65
87;834046.46;162505.25
88;834046.46;192113.88
89;834046.46;192113.88
90;834046.46;151307.0
91;834046.46;168977.88
92;834046.46;148055.63
93;834046.46;155600.98
94;834046.46;155600.98
95;834046.46;155600.98
96;834046.46;237807.71
97;834046.46;204619.93
98;834046.46;251654.48
99;834046.46;204619.93
100;834046.46;226994.22
101;834046.46;284236.16
102;834046.46;247580.97
103;834046.46;247580.97
104;834046.46;248923.25
105;834046.46;243437.7
106;834046.46;248923.25
107;834046.46;241213.63
108;834046.46;255357.52
109;834046.46;241213.63
110;834046.46;255357.52
111;834046.46;234767.98
112;834046.46;234767.98
113;834046.46;221104.89
114;834046.46;198346.25
115;834046.46;221104.89
116;834046.46;191388.75
117;834046.46;149047.96
118;834046.46;138516.45
119;834046.46;175551.28
120;834046.46;183025.8
121;834046.46;183025.8
122;834046.46;175551.28
123;834046.46;144852.6
124;834046.46;141035.78
125;834046.46;149021.1
126;834046.46;141035.78
127;834046.46;149021.1
128;834046.46;141035.78
129;834046.46;141035.78
130;834046.46;149021.1
131;834046.46;141035.78
132;834046.46;149021.1
133;834046.46;149021.1
134;834046.46;166236.71
135;834046.46;166758.0
136;834046.46;132585.22
137;834046.46;132585.22
138;834046.46;132585.22
139;834046.46;132585.22
140;834046.46;134219.01
141;834046.46;130868.39
142;834046.46;112434.41
143;834046.46;105635.74
144;834046.46;100410.61
145;834046.46;102845.22
146;834046.46;102845.22
147;834046.46;98262.81
148;834046.46;106408.91
149;834046.46;101361.87
150;834046.46;101361.87
151;834046.46;106408.91
152;834046.46;106851.63
153;834046.46;106858.1
154;834046.46;100498.32
155;834046.46;98974.37
156;834046.46;100498.32
157;834046.46;108020.46
158;834046.46;108020.46
159;834046.46;108020.46
160;834046.46;110391.47
161;834046.46;109739.39
162;834046.46;125295.22
163;834046.46;125295.22
164;834046.46;107211.8
165;834046.46;103571.58
166;834046.46;99559.41
167;834046.46;120430.2
168;834046.46;120430.2
169;834046.46;120430.2
170;834046.46;129910.06
171;834046.46;125792.83
172;834046.46;109232.0
173;834046.46;145670.38
174;834046.46;145670.38
175;834046.46;145670.38
176;834046.46;133435.8
177;834046.46;133435.8
178;834046.46;145670.38
179;834046.46;145670.38
180;834046.46;145670.38
181;834046.46;144350.76
182;834046.46;144350.76
183;834046.46;148633.65
184;834046.46;151800.85
185;834046.46;150034.44
186;834046.46;155878.0
187;834046.46;133443.47
188;834046.46;133443.47
189;834046.46;139991.29
190;834046.46;174012.66
191;834046.46;174012.66
192;834046.46;180256.26
193;834046.46;242534.31
194;834046.46;253004.41
195;834046.46;253004.41
196;834046.46;253004.41
197;834046.46;242534.31
198;834046.46;253004.41
199;834046.46;242534.31
200;834046.46;248246.7
201;834046.46;243955.2
202;834046.46;243955.2
203;834046.46;207097.01
204;834046.46;202079.48
205;834046.46;202079.48
206;834046.46;198761.13
207;834046.46;169964.12
208;834046.46;252275.46
209;834046.46;252275.46
210;834046.46;214484.32
211;834046.46;214484.32
212;834046.46;214484.32
213;834046.46;252275.46
214;834046.46;252275.46
215;834046.46;155549.22
216;834046.46;155549.22
217;834046.46;155549.22
218;834046.46;155549.22
219;834046.46;154031.48
220;834046.46;163297.87
221;834046.46;292649.56
222;834046.46;163297.87
223;834046.46;142130.3
224;834046.46;166800.75
225;834046.46;115047.72
226;834046.46;135327.04
227;834046.46;135327.04
228;834046.46;218459.42
229;834046.46;268684.88
230;834046.46;261610.44
231;834046.46;247696.26
232;834046.46;230843.07
233;834046.46;245669.76
234;834046.46;245669.76
235;834046.46;245669.76
236;834046.46;229479.35
237;834046.46;229479.35
238;834046.46;229479.35
239;834046.46;303258.01
240;834046.46;276039.19
241;834046.46;332933.82
242;834046.46;327696.62
243;834046.46;166750.32
244;834046.46;234300.94
245;834046.46;208865.21
246;834046.46;276790.84
247;834046.46;257981.01
248;834046.46;257981.01
249;834046.46;244072.74
250;834046.46;216245.2
251;834046.46;238502.66
252;834046.46;209057.57
253;834046.46;227193.81
254;834046.46;232601.05
255;834046.46;232601.05
256;834046.46;239213.85
257;834046.46;239213.85
258;834046.46;237490.47
259;834046.46;239213.85
260;834046.46;206370.15
261;834046.46;244709.22
262;834046.46;253055.28
263;834046.46;301114.05
264;834046.46;297952.67
265;834046.46;297952.67
266;834046.46;297952.67
267;834046.46;277485.92
268;834046.46;238355.83
269;834046.46;263407.9
270;834046.46;160489.36
271;834046.46;240134.65
272;834046.46;246834.21
273;834046.46;236070.81
274;834046.46;266584.36
275;834046.46;384946.94
276;834046.46;388045.61
277;834046.46;384946.94
278;834046.46;388045.61
279;834046.46;384946.94
280;834046.46;231707.69
281;834046.46;279147.88
282;834046.46;279147.88
283;834046.46;231707.69
284;834046.46;279147.88
285;834046.46;252395.37
286;834046.46;218671.14
287;834046.46;204580.84
288;834046.46;204580.84
289;834046.46;204580.84
290;834046.46;172547.95
291;834046.46;184958.05
292;834046.46;184838.19
293;834046.46;184838.19
294;834046.46;166726.36
295;834046.46;167890.76
296;834046.46;135289.13
297;834046.46;167890.76
298;834046.46;167890.76
299;834046.46;167890.76
300;834046.46;135289.13
