Generation;Best_Trader_Fitness;Average_Fitness_of_Population
1;506140.22;90429.62
2;506140.22;218668.98
3;998439.76;444502.9
4;998439.76;279656.93
5;998439.76;404984.93
6;998439.76;539328.07
7;998439.76;173207.13
8;998439.76;237333.62
9;998439.76;316953.27
10;1144366.56;680218.17
11;1144366.56;692378.74
12;1144366.56;279437.49
13;1144366.56;264719.32
14;1144366.56;344497.75
15;1144366.56;344497.75
16;1144366.56;224664.77
17;1144366.56;198972.35
18;1144366.56;224664.77
19;1144366.56;198972.35
20;1144366.56;278553.59
21;1144366.56;251369.68
22;1144366.56;278553.59
23;1144366.56;197198.08
24;1144366.56;198931.87
25;1144366.56;202454.51
26;1144366.56;253835.55
27;1144366.56;203438.15
28;1144366.56;206721.66
29;1144366.56;206721.66
30;1144366.56;217445.78
31;1144366.56;233858.8
32;1144366.56;251466.26
33;1144366.56;251466.26
34;1144366.56;253098.88
35;1144366.56;248268.5
36;1144366.56;276476.75
37;1144366.56;248268.5
38;1144366.56;276476.75
39;1144366.56;248268.5
40;1144366.56;266774.58
41;1144366.56;255913.08
42;1144366.56;255913.08
43;1144366.56;299372.02
44;1144366.56;180393.3
45;1144366.56;180393.3
46;1144366.56;183977.94
47;1144366.56;141166.43
48;1144366.56;171117.22
49;1144366.56;163415.53
50;1144366.56;209089.37
51;1144366.56;209089.37
52;1144366.56;209089.37
53;1144366.56;167536.3
54;1144366.56;207380.34
55;1144366.56;158992.84
56;1144366.56;150290.29
57;1144366.56;144203.44
58;1144366.56;129557.08
59;1144366.56;141392.36
60;1144366.56;139526.1
61;1144366.56;135401.03
62;1144366.56;139526.1
63;1144366.56;131021.49
64;1144366.56;156793.15
65;1144366.56;135045.18
66;1144366.56;135045.18
67;1144366.56;160621.16
68;1144366.56;155163.81
69;1144366.56;160621.16
70;1144366.56;155163.81
71;1144366.56;160621.16
72;1144366.56;160621.16
73;1144366.56;155163.81
74;1144366.56;160621.16
75;1144366.56;236806.67
76;1144366.56;235931.07
77;1144366.56;235931.07
78;1144366.56;170949.24
79;1144366.56;170949.24
80;1144366.56;177608.26
81;1144366.56;195110.96
82;1144366.56;179297.05
83;1144366.56;179297.05
84;1144366.56;184754.12
85;1144366.56;179991.22
86;1144366.56;179991.22
87;1144366.56;137454.48
88;1144366.56;137454.48
89;1144366.56;137454.48
90;1144366.56;137454.48
91;1144366.56;143685.84
92;1144366.56;137454.48
93;1144366.56;129934.16
94;1144366.56;137729.21
95;1144366.56;139567.55
96;1144366.56;153579.84
97;1144366.56;153579.84
98;1144366.56;146347.45
99;1144366.56;146347.45
100;1144366.56;167542.15
101;1144366.56;146347.45
102;1144366.56;167542.15
103;1144366.56;236338.58
104;1144366.56;191988.15
105;1144366.56;191988.15
106;1144366.56;172213.69
107;1144366.56;140368.27
108;1144366.56;153751.2
109;1144366.56;148721.62
110;1144366.56;264445.46
111;1144366.56;219824.07
112;1144366.56;219824.07
113;1144366.56;271541.48
114;1144366.56;288174.13
115;1144366.56;271541.48
116;1144366.56;271541.48
117;1144366.56;227434.91
118;1144366.56;317037.1
119;1144366.56;314343.64
120;1144366.56;453866.6
